Music ^nn++++=Music
influences ^nns+nom+++=influences
both ^abx++++=both
the ^ati++++=the
tempo ^nn++++=tempo
and ^cc++++=and
the ^ati++++=the
style ^nn++++=style
of ^in++++=of
the ^ati++++=the
capoeira ^nn+++??+=capoeira
game ^nn++++=game.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
rhythm ^nn++++=rhythm
corresponds ^vbz++++=corresponds
to ^in++++=to
a ^at++++=a
specific ^jj+atrb+++=specific
style ^nn++++=style
of ^in++++=of
play ^nn++++=play.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rhythm ^nn++++=rhythm
known ^vbd+vprv++xvbn+=known
as ^in++++=as
' ^zz++++='Angola'
angola ^np++++=EXTRAWORD
' ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
slow ^jj+atrb+++=slow,
, ^zz++++=EXTRAWORD
close ^jj+atrb+++=close
game ^nn++++=game
in ^in++++=in
which ^whp+rel+pied++=which
practitioners ^nns+nom+++=practitioners
often ^rb++++=often
maintain ^vb+vpub+++=maintain
one ^cd1++++=one
hand ^nn++++=hand
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
an ^at++++=an
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
demonstrate ^nn+nom+++=demonstrate
technical ^jj+atrb+++=technical
skill ^nn++++=skill
( ^zz++++=(ESPETO
espeto ^nn+++??+=EXTRAWORD
Capoeira ^np+++??+=CAPOEIRA,
, ^zz++++=EXTRAWORD
2022b ^cd++++=2022b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sandro ^np+++??+=Sandro
instructs ^vbz+++??+=instructs
his ^pp$+pp3+++=his
students ^nns++++=students
to ^to++++=to
identify ^vbi++++=identify
different ^jj+atrb+++=different
rhythms ^nns+++??+=rhythms
and ^cc++++=and
understand ^vb+vprv+++=understand
the ^ati++++=the
appropriate ^jj+atrb+++=appropriate
style ^nn++++=style
of ^in++++=of
play ^nn++++=play
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
each ^dt++++=each.
. ^zz++++=EXTRAWORD
