Every ^at++++=Every
Brazilian ^jj+atrb+++=Brazilian
citizen ^nn++++=citizen
undergoing ^vwbg+++xvbg+=undergoing
training ^nn++++=training
is ^vbz+bez+aux++=is
entitled ^vpsv++agls+xvbnx+=entitled
to ^in++++=to
access ^nn++++=access
the ^ati++++=the
technical ^jj+atrb+++=technical
and ^cc+phrs+++=and
scientific ^jj+atrb+++=scientific
knowledge ^nn++++=knowledge
developed ^vwbn+++xvbn+=developed
by ^in++++=by
humanity ^nn+nom+++=humanity
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
acquisition ^nn+nom+++=acquisition
of ^in++++=of
knowledge ^nn++++=knowledge
related ^vbd+++xvbn+=related
to ^in++++=to
digital ^jj+atrb+++=digital
technologies ^nns+++??+=technologies
should ^md+nec+++=should
be ^vb+be+aux++=be
regarded ^vpsv++agls+xvbnx+=regarded
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
level ^nn++++=level
of ^in++++=of
importance ^nn+nom+++=importance
and ^cc++++=and
inclusivity ^nn+nom+++=inclusivity.
. ^zz++++=EXTRAWORD
