Publication ^nn+nom+++=Publication
in ^in++++=in
English ^nn++++=English
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
higher ^jjr+atrb+++=higher
average ^jj+atrb+++=average
number ^nn++++=number
of ^in++++=of
authors ^nns++++=authors
per ^in++++=per
article ^nn++++=article
compared ^vbd+++xvbn+=compared
to ^in++++=to
other ^ap++++=other
languages ^nns+nom+++=languages.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
English ^jj++++=English-language
- ^zz++++=EXTRAWORD
language ^nn+nom+++=EXTRAWORD
articles ^nns++++=articles
have ^vb+hv+vrb++=have
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
4.3 ^cd++++=4.3
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Portuguese ^jj++++=Portuguese-language
- ^zz++++=EXTRAWORD
language ^nn+nom+++=EXTRAWORD
articles ^nns++++=articles
have ^vb+hv+vrb++=have
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
3.3 ^cd++++=3.3
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Spanish ^jj++++=Spanish-language
- ^zz++++=EXTRAWORD
language ^nn+nom+++=EXTRAWORD
articles ^nns++++=articles
have ^vb+hv+vrb++=have
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
2.7 ^cd++++=2.7
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
The ^ati++++=The
relatively ^rb++++=relatively
high ^jj++++=high
average ^jj++++=average
for ^in++++=for
Brazil ^np++++=Brazil
is ^vbz+bez+aux++=is
also ^rb++splt++=also
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
the ^ati++++=the
tendency ^nn++++=tendency
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
authors ^nns++++=authors
and ^cc++++=and
journals ^nns+nom+++=journals
to ^to++++=to
publish ^vbi++++=publish
articles ^nns++++=articles
with ^in++++=with
two ^cd++++=two
or ^cc++++=or
more ^ql++++=more
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pattern ^nn++++=pattern,
, ^zz++++=EXTRAWORD
with ^in++++=with
English ^nn++++=English
having ^vwbg+hvg++xvbg+=having
the ^ati++++=the
highest ^jjt+atrb+++=highest
average ^jj+atrb+++=average
number ^nn++++=number
of ^in++++=of
authors ^nns++++=authors
followed ^vwbn+vprv++xvbn+=followed
by ^in++++=by
Portuguese ^nn+nom+++=Portuguese
and ^cc++++=and
then ^rn+tm+++=then
spanish ^jj++++=Spanish,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
consistent ^jj+pred+++=consistent
across ^in+pl+++=across
all ^abn++++=all
subject ^nn++++=subject
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
