Cleaning ^nvbg+++xvbg+=Cleaning
interactions ^nns+nom+++=interactions
are ^vb+ber+vrb++=are
interspecific ^jj+atrb+++=interspecific
associations ^nns+nom+++=associations
in ^in++++=in
which ^whp+rel+pied++=which
cleaner ^jjr+atrb+++=cleaner
species ^nn++++=species
obtain ^vb++++=obtain
benefits ^nns++++=benefits
from ^in++++=from
host ^nn++++=host
species ^nn++++=species
by ^in++++=by
consuming ^xvbg+++xvbg+=consuming
parasites ^nns++++=parasites,
, ^zz++++=EXTRAWORD
injured ^jj+atrb++xvbn+=injured
tissues ^nns++++=tissues,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
Globally ^np+++??+=Globally,
, ^zz++++=EXTRAWORD
a ^at++++=a
diverse ^jj+atrb+++=diverse
array ^nn++++=array
of ^in++++=of
bird ^nn++++=bird
species ^nn++++=species
engage ^vb++++=engage
in ^in++++=in
cleaning ^xvbg+++xvbg+=cleaning
behaviors ^nns++++=behaviors
directed ^vwbn+++xvbn+=directed
toward ^in++++=toward
large ^jj+atrb+++=large
mammals ^nns+nom+++=mammals.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
factors ^nns++++=factors
influencing ^vwbg+++xvbg+=influencing
the ^ati++++=the
structure ^nn++++=structure
of ^in++++=of
networks ^nns++++=networks
formed ^vwbn+++xvbn+=formed
by ^in++++=by
cleaning ^xvbg+++xvbg+=cleaning
birds ^nns++++=birds
and ^cc++++=and
their ^pp$+pp3+++=their
mammalian ^jj+atrb+++=mammalian
hosts ^nns++++=hosts.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
analyzed ^vbd+++xvbn+=analyzed
two ^cd++++=two
cleaner ^nn++++=cleaner-host
- ^zz++++=EXTRAWORD
host ^nn++++=EXTRAWORD
networks ^nns++++=networks,
, ^zz++++=EXTRAWORD
one ^pn++++=one
from ^in++++=from
Brazilian ^jj+atrb+++=Brazilian
openlands ^nns+++??+=openlands
and ^cc++++=and
another ^dt++++=another
from ^in++++=from
African ^jj+atrb+++=African
openlands ^nns+++??+=openlands,
, ^zz++++=EXTRAWORD
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
dietary ^jj+atrb+++=dietary
generalism ^nn+nom+++=generalism
and ^cc++++=and
cleaning ^nvbg+++xvbg+=cleaning
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
hypothesized ^vbd+++xvbn+=hypothesized
that ^tht+vcmp+++=that
cleaning ^vbg+++xvbg+=cleaning
interactions ^nns+nom+++=interactions
are ^vb+ber+vrb++=are
predominantly ^rb++++=predominantly
opportunistic ^jj+pred+++=opportunistic,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
expectation ^nn+nom+++=expectation
that ^tht+ncmp+++=that
generalist ^nn+nom+++=generalist
species ^nn++++=species
constitute ^vb++++=constitute
the ^ati++++=the
primary ^jj+atrb+++=primary
components ^nns++++=components
of ^in++++=of
cleaner ^nn++++=cleaner-host
- ^zz++++=EXTRAWORD
host ^nn++++=EXTRAWORD
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
To ^in++++=To
test ^nn++++=test
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
compared ^vbd+++xvbn+=compared
the ^ati++++=the
diet ^nn++++=diet
diversity ^nn+nom+++=diversity
of ^in++++=of
cleaner ^jjr+atrb+++=cleaner
species ^nn++++=species
with ^in++++=with
that ^dt+dem+++=that
of ^in++++=of
their ^pp$+pp3+++=their
closely ^rb++++=closely
related ^jj+++xvbn+=related,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-cleaning
- ^zz++++=EXTRAWORD
cleaning ^nvbg+++xvbg+=EXTRAWORD
counterparts ^nns++++=counterparts.
. ^zz++++=EXTRAWORD
In ^in++++=In
18 ^cd++++=18
out ^rp+pl+++=out
of ^in++++=of
26 ^cd++++=26
bird ^nn++++=bird
families ^nns++++=families,
, ^zz++++=EXTRAWORD
cleaner ^jjr+atrb+++=cleaner
species ^nn++++=species
exhibited ^vbd+++xvbn+=exhibited
greater ^jjr+atrb+++=greater
diet ^nn++++=diet
diversity ^nn+nom+++=diversity
than ^in++++=than
their ^pp$+pp3+++=their
non ^&fw++++=non-cleaning
- ^zz++++=EXTRAWORD
cleaning ^nvbg+++xvbg+=EXTRAWORD
relatives ^nns++++=relatives.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
further ^jjb++++=further
assessed ^jj+++xvbn+=assessed
whether ^cs+who+++=whether
birds ^nns++++=birds
with ^in++++=with
more ^rbr++++=more
diverse ^jj+atrb+++=diverse
diets ^nns++++=diets
occupy ^vb++++=occupy
more ^rbr++++=more
central ^jj+atrb+++=central
positions ^nns+nom+++=positions
within ^in++++=within
cleaner ^nn++++=cleaner-host
- ^zz++++=EXTRAWORD
host ^nn++++=EXTRAWORD
