Data ^nns++++=Data
archiving ^xvbg+++xvbg+=archiving
supports ^vbz++++=supports
collaboration ^nn+nom+++=collaboration
at ^rb++++=at
multiple ^jj+atrb+++=multiple
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
For ^in++++=For
researchers ^nns+nom+++=researchers
collaborating ^jj++++=collaborating
remotely ^rb++++=remotely
with ^in++++=with
speech ^nn++++=speech
communities ^nns+nom+++=communities
or ^cc++++=or
other ^ap++++=other
researchers ^nns+nom+++=researchers,
, ^zz++++=EXTRAWORD
archiving ^jj+atrb++xvbg+=archiving
data ^nns++++=data
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
generated ^vpsv++agls+xvbnx+=generated
or ^cc++++=or
as ^ql++++=as
analyses ^nns++++=analyses
are ^vb+ber+aux++=are
completed ^vpsv++agls+xvbnx+=completed
enables ^vbz++++=enables
the ^ati++++=the
project ^nn++++=project
team ^nn++++=team
to ^to++++=to
maintain ^vbi+vpub+++=maintain
organization ^nn+nom+++=organization
and ^cc++++=and
consistency ^nn++++=consistency.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
data ^nns++++=data
are ^vb+ber+aux++=are
systematically ^rb++splt++=systematically
organized ^vpsv++agls+xvbnx+=organized
and ^cc++++=and
archived ^jj+++xvbn+=archived,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
become ^vb++++=become
accessible ^jj++++=accessible
to ^in++++=to
other ^ap++++=other
researchers ^nns+nom+++=researchers,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
leading ^jj+++xvbg+=leading
to ^in++++=to
new ^jj+atrb+++=new
collaborative ^jj+atrb+++=collaborative
opportunities ^nns+nom+++=opportunities.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
data ^nns++++=data
archiving ^vwbg+++xvbg+=archiving
facilitates ^nns+nom+++=facilitates
the ^ati++++=the
reuse ^nn+++??+=reuse
of ^in++++=of
primary ^jj+atrb+++=primary
data ^nns++++=data
for ^in++++=for
a ^at++++=a
range ^nn++++=range
of ^in++++=of
research ^nn++++=research
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
including ^in++++=including
work ^nn++++=work
in ^in++++=in
natural ^jj+atrb+++=natural
language ^nn+nom+++=language
processing ^vwbg+++xvbg+=processing
and ^cc++++=and
linguistic ^jj+atrb+++=linguistic
typology ^nn+++??+=typology.
. ^zz++++=EXTRAWORD
Archived ^np+++??+=Archived
data ^nns++++=data
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
cited ^vpsv++agls+xvbnx+=cited,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
ensuring ^xvbg+++xvbg+=ensuring
research ^nn++++=research
reproducibility ^nn+nom+++=reproducibility
( ^zz++++=(Berez-Kroeker
berez ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
kroeker ^jjr++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Language ^nn+nom+++=Language
Documentation ^np+nom++??+=Documentation
& ^zz++++=&
Conservation ^np+nom++??+=Conservation,
, ^zz++++=EXTRAWORD
require ^vb+vsua+++=require
that ^tht+vcmp+++=that
datasets ^nns+++??+=datasets
associated ^vbd+++xvbn+=associated
with ^in++++=with
articles ^nns++++=articles
be ^vb+be+aux++=be
archived ^vpsv++agls+xvbnx+=archived
and ^cc+phrs+++=and
cited ^vwbn+++xvbn+=cited
appropriately ^rb++++=appropriately.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
researchers ^nns+nom+++=researchers
are ^vb+ber+aux++=are
encouraged ^vpsv++agls+xvbnx+=encouraged
to ^to+vcmp+++=to
cite ^vb++++=cite
their ^pp$+pp3+++=their
own ^ap++++=own
archived ^jj+atrb++xvbn+=archived
data ^nns++++=data,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
for ^in++++=for
others ^aps++++=others
who ^whp+rel+subj++=who
use ^vb++++=use
these ^dt+dem+++=these
data ^nns++++=data
to ^to++++=to
provide ^vbi+vsua+++=provide
proper ^jj+atrb+++=proper
citation ^nn+nom+++=citation
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
