Twenty ^cd++++=Twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
years ^nns++++=years
after ^in++++=after
the ^ati++++=the
study ^nn++++=study
by ^in++++=by
Cetto ^np+++??+=Cetto
and ^cc++++=and
Alonso ^np+++??+=Alonso-Gamboa,
- ^zz++++=EXTRAWORD
gamboa ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Web ^nn++++=Web
of ^in++++=of
Science ^nn+nom+++=Science
Citation ^np+nom++??+=Citation
Reports ^nns++++=Reports
includes ^vb++++=includes
only ^rb+down+++=only
1.2 ^cd++++=1.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
Juojs ^np+++??+=JUOJS
titles ^nns++++=titles
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
representation ^nn+nom+++=representation
of ^in++++=of
Juojs ^np+++??+=JUOJS
in ^in++++=in
Ebsco ^np+++??+=EBSCO
and ^cc++++=and
Scopus ^np+++??+=Scopus
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
slightly ^rb+down+++=slightly
higher ^jjr++++=higher.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
limited ^jj+atrb++xvbn+=limited
coverage ^nn+nom+++=coverage
is ^vbz+bez+vrb++=is
significant ^jj++++=significant
given ^jj+++xvbn+=given
that ^dt+dem+++=that
these ^dt+dem+++=these
three ^cd++++=three
databases ^nns+++??+=databases
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
comprehensive ^jj+atrb+++=comprehensive
sources ^nns++++=sources
of ^in++++=of
the ^ati++++=the
scientific ^jj+atrb+++=scientific
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
Researchers ^nns+nom++??+=Researchers
often ^rb++++=often
rely ^vb++++=rely
on ^in++++=on
them ^pp3o+pp3+++=them
for ^in++++=for
conducting ^xvbg+++xvbg+=conducting
literature ^nn++++=literature
reviews ^nns++++=reviews
and ^cc++++=and
for ^in++++=for
analyzing ^xvbg+++xvbg+=analyzing
patterns ^nns++++=patterns
of ^in++++=of
scholarly ^jj+atrb+++=scholarly
communication ^nn+nom+++=communication,
, ^zz++++=EXTRAWORD
including ^in++++=including
studies ^nns++++=studies
focused ^vbd+++xvbn+=focused
on ^in++++=on
the ^ati++++=the
Global ^jj+atrb+++=Global
South ^nr+pl+++=South
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cort ^np+++??+=Cort
S ^zz++++=s,
 ^zz++++=EXTRAWORD
Guix ^np++++=Guix,
 ^zz++++=EXTRAWORD
 ^zz++++=&
Carbonell ^np++++=Carbonell,
 ^zz++++=EXTRAWORD
021 ^cd++++=2021).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
