These ^dt+dem+++=These
elements ^nns+nom+++=elements
collectively ^rb++++=collectively
constitute ^vb++++=constitute
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
referred ^vpsv++agls+xvbnx+=referred
to ^in++++=to
as ^ql++++=as
the ^ati++++=the
research ^nn++++=research
paradigm ^nn++++=paradigm,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
represents ^vbz++++=represents
a ^at++++=a
fundamental ^jj+atrb+++=fundamental
worldview ^nn+++??+=worldview
or ^cc++++=or
set ^vpsv++agls+xvbn+=set
of ^in++++=of
basic ^jj+atrb+++=basic
beliefs ^nns++++=beliefs
that ^tht+ncmp+subj++=that
determines ^vbz++++=determines
the ^ati++++=the
value ^nn++++=value
attributed ^vwbn+++xvbn+=attributed
to ^in++++=to
research ^nn++++=research
and ^cc++++=and
informs ^vbz++++=informs
the ^ati++++=the
investigator ^nn++++=investigator
s ^zz++++=s
selection ^nn+nom+++=selection
of ^in++++=of
methods ^nns++++=methods
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
underlying ^jj+atrb++xvbg+=underlying
assumptions ^nns+nom+++=assumptions
( ^zz++++=(Guba
guba ^nn+++??+=EXTRAWORD
& ^zz++++=&
Lincoln ^np++++=Lincoln,
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994;
; ^zz++++=EXTRAWORD
Treagust ^np+++??+=Treagust
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
research ^nn++++=research
paradigm ^nn++++=paradigm
functions ^nns+nom+++=functions
as ^in++++=as
a ^at++++=a
conceptual ^jj+atrb+++=conceptual
framework ^nn++++=framework
or ^cc++++=or
philosophical ^jj+atrb+++=philosophical
stance ^nn++++=stance
that ^tht+rel+obj++=that
integrates ^nns+nom+++=integrates
beliefs ^nns++++=beliefs,
, ^zz++++=EXTRAWORD
values ^nns++++=values,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
methodological ^jj+atrb+++=methodological
approaches ^nns++++=approaches
within ^in++++=within
the ^ati++++=the
research ^nn++++=research
process ^nns+nom+++=process
( ^zz++++=(Taber,
taber ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Treagust ^np+++??+=Treagust
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
practical ^jj+atrb+++=practical
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
paradigms ^nns++++=paradigms
shape ^nn++++=shape
the ^ati++++=the
way ^nn++++=way
researchers ^nns+nom+++=researchers
conceptualize ^vb++++=conceptualize
and ^cc+phrs+++=and
interpret ^vb++++=interpret
their ^pp$+pp3+++=their
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
