Collaboration ^nn+nom+++=Collaboration
in ^in++++=in
the ^ati++++=the
articles ^nns++++=articles
published ^vbd+++xvbn+=published
in ^in++++=in
journals ^nns+nom+++=journals
included ^vbd+++xvbn+=included
in ^in++++=in
Oliva ^np+++??+=OLIVA
exhibits ^nns++++=exhibits
notable ^jj+atrb+++=notable
variation ^nn+nom+++=variation
across ^in+pl+++=across
disciplinary ^nn+nom+++=disciplinary
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
25.8 ^cd++++=25.8%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
articles ^nns++++=articles
are ^vb+ber+vrb++=are
single ^jj+pred+++=single-authored,
- ^zz++++=EXTRAWORD
authored ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
proportion ^nn+nom+++=proportion
differs ^nns+nom+++=differs
substantially ^rb++++=substantially
by ^in++++=by
field ^nn++++=field
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Table ^nn++++=Table
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Humanities ^nns+nom+++=Humanities,
, ^zz++++=EXTRAWORD
single ^jj++++=single-authored
- ^zz++++=EXTRAWORD
authored ^jj+atrb++xvbn+=EXTRAWORD
articles ^nns++++=articles
constitute ^vb++++=constitute
77.2 ^cd++++=77.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^nn++++=total,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
in ^in++++=in
the ^ati++++=the
Social ^jj+atrb+++=Social
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
figure ^nn++++=figure
is ^vbz+bez+vrb++=is
49.3 ^cd++++=49.3%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Humanities ^nns+nom+++=Humanities,
, ^zz++++=EXTRAWORD
19 ^cd++++=19%
% ^zz++++=EXTRAWORD
of ^in++++=of
articles ^nns++++=articles
are ^vb+ber+vrb++=are
co ^nn++++=co-authored
- ^zz++++=EXTRAWORD
authored ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
3.8 ^cd++++=3.8%
% ^zz++++=EXTRAWORD
involve ^vb++++=involve
more ^rbr++++=more
than ^in++++=than
three ^cd++++=three
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Social ^jj+atrb+++=Social
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
40.8 ^cd++++=40.8%
% ^zz++++=EXTRAWORD
of ^in++++=of
articles ^nns++++=articles
have ^vb+hv+vrb++=have
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
between ^in++++=between
four ^cd++++=four
and ^cc++++=and
eight ^cd++++=eight
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
Multidisciplinary ^np+nom++??+=Multidisciplinary
Social ^jj+atrb+++=Social
Sciences ^nns+nom+++=Sciences
and ^cc++++=and
Humanities ^nns+nom+++=Humanities
( ^zz++++=(SSH)
ssh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
journals ^nns+nom+++=journals
display ^nn++++=display
intermediate ^jj+atrb+++=intermediate
patterns ^nns++++=patterns
of ^in++++=of
authorship ^nn+nom+++=authorship,
, ^zz++++=EXTRAWORD
with ^in++++=with
percentages ^nns+nom+++=percentages
falling ^vwbg+++xvbg+=falling
between ^in++++=between
those ^dt+dem+++=those
observed ^jj++++=observed
in ^in++++=in
the ^ati++++=the
humanities ^nns+nom+++=Humanities
and ^cc++++=and
social ^jj+atrb+++=Social
sciences ^nns+nom+++=Sciences.
. ^zz++++=EXTRAWORD
