It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
young ^jj+atrb+++=young
people ^nns++++=people
acquire ^vb++++=acquire
adequate ^jj+atrb+++=adequate
knowledge ^nn++++=knowledge
and ^cc++++=and
skills ^nns++++=skills
to ^to++++=to
participate ^nn+nom+++=participate
effectively ^rb++++=effectively
in ^in++++=in
a ^at++++=a
rapidly ^rb++++=rapidly
changing ^jj+atrb++xvbg+=changing
society ^nn++++=society,
, ^zz++++=EXTRAWORD
to ^to++++=to
prepare ^vbi++++=prepare
them ^pp3o+pp3+++=them
for ^in++++=for
professions ^nns++++=professions
that ^tht+rel+obj++=that
may ^md+pos+++=may
not ^xnot++not++=not
yet ^rb++++=yet
exist ^vb++++=exist,
, ^zz++++=EXTRAWORD
to ^to++++=to
utilize ^vbi++++=utilize
technologies ^nns+++??+=technologies
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
not ^xnot++not++=not
yet ^rb++++=yet
been ^vprf+ben+aux+xvbn+=been
developed ^vpsv++agls+xvbnx+=developed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
address ^nns+nom+++=address
problems ^nns++++=problems
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
not ^xnot++not++=not
yet ^rb++++=yet
identified ^vbd+++xvbn+=identified.
. ^zz++++=EXTRAWORD
Evidence ^nn+nom+++=Evidence
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
future ^jjb+atrb+++=future
professions ^nns++++=professions
will ^md+prd+++=will
involve ^vb++++=involve,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
directly ^rb++++=directly
or ^cc+phrs+++=or
indirectly ^rb+cnj+++=indirectly,
, ^zz++++=EXTRAWORD
computing ^vbg+++xvbg+=computing
and ^cc+phrs+++=and
digital ^jj+atrb+++=digital
technologies ^nns+++??+=technologies
( ^zz++++=(BNCC,
bncc ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
473 ^cd++++=473).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
