Two ^cd++++=Two
of ^in++++=of
the ^ati++++=the
individuals ^nns+nom+++=individuals
interviewed ^vwbn+++xvbn+=interviewed
in ^in++++=in
June ^nr++++=June
2015 ^cd++++=2015
( ^zz++++=(RS
rs ^nns++++=EXTRAWORD
and ^cc++++=and
Ha ^uh++++=HA)
) ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
among ^in++++=among
the ^ati++++=the
earliest ^jjt+atrb+++=earliest
groups ^nns++++=groups
to ^to++++=to
arrive ^vbi++++=arrive
in ^in++++=in
Dungannon ^np+++??+=Dungannon,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
migrated ^vprf+++xvbn+=migrated
directly ^rb++++=directly
from ^in++++=from
Portugal ^np+nom+++=Portugal
in ^in++++=in
2001 ^cd++++=2001
and ^cc++++=and
2002 ^cd++++=2002.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
obtained ^vbd+++xvbnx+=obtained
employment ^nn+nom+++=employment
through ^in++++=through
an ^at++++=an
agency ^nn++++=agency
based ^vwbn+++xvbn+=based
in ^in++++=in
Portugal ^np+nom+++=Portugal
( ^zz++++=(Interviews,
interviews ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
June ^nr++++=June
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
interviewee ^nn+nom+++=interviewee
( ^zz++++=(MFB)
mfb ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
worked ^vprf+++xvbnx+=worked
in ^in++++=in
England ^np++++=England
before ^in++++=before
relocating ^xvbg+++xvbg+=relocating
to ^in++++=to
Northern ^np++++=Northern
Ireland ^np++++=Ireland,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
provided ^vbd+vsua++xvbn+=provided
prior ^jj+atrb+++=prior
experience ^nn+nom+++=experience
with ^in++++=with
English ^nn++++=English
in ^in++++=in
a ^at++++=a
professional ^jj+atrb+++=professional
context ^nn++++=context
( ^zz++++=(Interview
interview ^nn++++=EXTRAWORD
with ^in++++=with
mfb ^np++++=MFB,
, ^zz++++=EXTRAWORD
june ^nr++++=June
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
