Capoeira ^np+++??+=Capoeira
is ^vbz+bez+aux++=is
believed ^vpsv++agls+xvbnx+=believed
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
originated ^vprf+++xvbnx+=originated
under ^in++++=under
these ^dt+dem+++=these
conditions ^nns+nom+++=conditions
in ^in++++=in
the ^ati++++=the
northeastern ^jj+atrb++xvbn+=northeastern
state ^nn++++=state
of ^in++++=of
Bahia ^np+++??+=Bahia,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
center ^nn++++=center
of ^in++++=of
Brazil ^np++++=Brazil
s ^zz++++=s
sugar ^nn++++=sugar-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
economy ^nn++++=economy
and ^cc++++=and
the ^ati++++=the
location ^nn+nom+++=location
of ^in++++=of
its ^pp$+it+++=its
capital ^nn++++=capital,
, ^zz++++=EXTRAWORD
Salvador ^np+++??+=Salvador
da ^np++++=da
Bahia ^np+++??+=Bahia.
. ^zz++++=EXTRAWORD
The ^ati++++=The
precise ^jj+atrb+++=precise
time ^nn++++=time
and ^cc++++=and
circumstances ^nns+nom+++=circumstances
of ^in++++=of
capoeira ^nn+++??+=capoeira
s ^zz++++=s
emergence ^nn+nom+++=emergence
remain ^vb++++=remain
subjects ^nns++++=subjects
of ^in++++=of
considerable ^jj+atrb+++=considerable
debate ^nn++++=debate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earliest ^nn++++=earliest
documented ^vwbn+++xvbn+=documented
references ^nns+nom+++=references
to ^in++++=to
capoeira ^nn+++??+=capoeira
date ^nn++++=date
to ^in++++=to
the ^ati++++=the
19th ^cd+date+++=19th
century ^nn++++=century
and ^cc++++=and
include ^vb++++=include
chronicle ^nn++++=chronicle
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
accounts ^nns++++=accounts
from ^in++++=from
foreign ^jj+atrb+++=foreign
visitors ^nns++++=visitors
to ^in++++=to
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
newspaper ^nn+nom+++=newspaper
reports ^nns++++=reports,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
single ^jj+atrb+++=single
engraving ^nn++++=engraving
that ^tht+rel+obj++=that
may ^md+pos+++=may
depict ^vb++++=depict
the ^ati++++=the
practice ^nn++++=practice
of ^in++++=of
capoeira ^nn++++=capoeira
( ^zz++++=(de
de ^&fw++++=EXTRAWORD
abreu ^np++++=Abreu,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
