Counting ^nvbg+++xvbg+=Counting
the ^ati++++=the
occurrences ^nns+nom+++=occurrences
of ^in++++=of
codes ^nns++++=codes
offers ^vbz++++=offers
a ^at++++=a
broad ^jj+atrb+++=broad
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
sample ^nn++++=sample
and ^cc++++=and
facilitates ^nns+nom+++=facilitates
the ^ati++++=the
identification ^nn+nom+++=identification
of ^in++++=of
patterns ^nns++++=patterns
both ^abx++++=both
within ^in++++=within
and ^cc++++=and
across ^in+pl+++=across
events ^nns++++=events
( ^zz++++=(Snell
snell ^np++++=EXTRAWORD
& ^zz++++=&
Lefstein ^np+++??+=Lefstein,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
approach ^nn++++=approach
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
certain ^jj+atrb+++=certain
limitations ^nns+nom+++=limitations,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
tendency ^nn++++=tendency
to ^to+ncmp+++=to
fragment ^nn+nom+++=fragment
the ^ati++++=the
data ^nns++++=data
and ^cc++++=and
potentially ^rb++++=potentially
overlook ^vb+vprv+++=overlook
contextual ^jj+atrb+++=contextual
information ^nn+nom+++=information
or ^cc++++=or
meanings ^nns++++=meanings
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
not ^xnot++not++=not
captured ^vpsv++by+xvbn+=captured
by ^in++++=by
the ^ati++++=the
codes ^nns++++=codes
( ^zz++++=(Cohen
cohen ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
systematic ^jj++++=systematic
coding ^jj+++xvbg+=coding
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
characterized ^vpsv++agls+xvbnx+=characterized
as ^ql++++=as
reductionist ^jj++++=reductionist
( ^zz++++=(Mercer
mercer ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Snell ^np+++??+=Snell
& ^zz++++=&
Lefstein ^np+++??+=Lefstein,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
subsection ^nn+nom+++=subsection
presents ^vbz++++=presents
an ^at++++=an
example ^nn++++=example
of ^in++++=of
the ^ati++++=the
types ^nns++++=types
of ^in++++=of
research ^nn++++=research
questions ^nns+nom+++=questions
and ^cc++++=and
findings ^vb++++=findings
that ^tht+vcmp+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
generated ^vpsv++agls+xvbn+=generated
through ^in++++=through
systematic ^nn++++=systematic
coding ^vbg+++xvbg+=coding.
. ^zz++++=EXTRAWORD
