Cosmarium ^np+++??+=Cosmarium
galeritum ^nn+++??+=galeritum
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
subtumidum ^nn+++??+=subtumidum
is ^vbz+bez+aux++=is
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
the ^ati++++=the
nominate ^nn+nom+++=nominate
variety ^nn++++=variety
by ^in++++=by
its ^pp$+it+++=its
more ^ql++++=more
rounded ^jj+atrb++xvbn+=rounded
semicells ^nns+++??+=semicells,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
Borge ^np+++??+=Borge
( ^zz++++=(1903).
1903 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
specimen ^nn++++=specimen
examined ^vwbn+++xvbn+=examined
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
exhibited ^vbd+++xvbn+=exhibited
a ^at++++=a
rounded ^nn++++=rounded
to ^in++++=to
slightly ^rb+down+++=slightly
truncate ^nn+nom+++=truncate
apex ^nn++++=apex,
, ^zz++++=EXTRAWORD
a ^at++++=a
morphological ^jj++++=morphological
characteristic ^jj++++=characteristic
consistent ^jj++++=consistent
with ^in++++=with
the ^ati++++=the
variation ^nn+nom+++=variation
depicted ^vwbn+++xvbn+=depicted
in ^in++++=in
Borge ^np+++??+=Borge
s ^zz++++=s
( ^zz++++=(1903)
1903 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
illustration ^nn+nom+++=illustration,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
served ^vbd+++xvbn+=served
as ^ql++++=as
the ^ati++++=the
basis ^nn++++=basis
for ^in++++=for
its ^pp$+it+++=its
identification ^nn+nom+++=identification.
. ^zz++++=EXTRAWORD
