Data ^nns++++=Data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
during ^in++++=during
the ^ati++++=the
final ^jj+atrb+++=final
evaluation ^nn+nom+++=evaluation
of ^in++++=of
the ^ati++++=the
educational ^jj+atrb+++=educational
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
conducted ^j+++xvbn+=conducted
between ^in++++=between
June ^nr++++=June
and ^cc++++=and
July ^nr++++=July
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
nine ^cd++++=nine
groups ^nns++++=groups
of ^in++++=of
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
group ^nn++++=group
was ^vbd+bedz+aux++=was
evaluated ^vpsv++by+xvbnx+=evaluated
by ^in++++=by
its ^pp$+it+++=its
respective ^jj+atrb+++=respective
educator ^nn++++=educator,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
whom ^whp+rel+pied++=whom
were ^vbd+bed+vrb++=were
female ^jj+pred+++=female
( ^zz++++=(n=9).
n=9 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Prior ^in+cmpx+++=Prior
to ^in"++++=to
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
educators ^nns++++=educators
participated ^vbd+++xvbn+=participated
in ^in++++=in
methodological ^jj+atrb+++=methodological
training ^nn++++=training
workshops ^nns++++=workshops
at ^in++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
year ^nn++++=year,
, ^zz++++=EXTRAWORD
between ^in++++=between
September ^nr+nom+++=September
and ^cc++++=and
October ^nr++++=October
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
consisting ^vbg+++xvbg+=consisting
of ^in++++=of
two ^cd++++=two
weekly ^jj+atrb+++=weekly
sessions ^nns++++=sessions
of ^in++++=of
45 ^cd++++=45
minutes ^nns++++=minutes
each ^dt++++=each
over ^in++++=over
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
one ^cd1++++=one
month ^nn++++=month.
. ^zz++++=EXTRAWORD
The ^ati++++=The
educators ^nns++++=educators
demonstrated ^vbd+vprv++xvbn+=demonstrated
satisfactory ^jj+atrb+++=satisfactory
performance ^nn+nom+++=performance
in ^in++++=in
the ^ati++++=the
training ^nn++++=training,
, ^zz++++=EXTRAWORD
acquiring ^vbg+++xvbg+=acquiring
the ^ati++++=the
necessary ^jj+atrb+++=necessary
skills ^nns++++=skills
to ^to++++=to
administer ^nn+nom+++=administer
the ^ati++++=the
assessment ^nn+nom+++=assessment
instrument ^nn+nom+++=instrument
and ^cc++++=and
integrate ^nn+nom+++=integrate
it ^pp3+it+++=it
into ^in++++=into
the ^ati++++=the
educational ^jj+atrb+++=educational
process ^nns+nom+++=process
to ^to++++=to
support ^vbi++++=support
child ^nn++++=child
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
Using ^vbg+++xvbg+=Using
this ^dt+dem+++=this
preparation ^nn+nom+++=preparation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
educators ^nns++++=educators
conducted ^vbd+++xvbn+=conducted
individual ^jj+atrb+++=individual
evaluations ^nns+nom+++=evaluations
of ^in++++=of
the ^ati++++=the
children ^nns++++=children
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
year ^nn++++=year,
, ^zz++++=EXTRAWORD
with ^in++++=with
each ^dt++++=each
child ^nn++++=child
assessed ^vwbn+++xvbn+=assessed
in ^in++++=in
two ^cd++++=two
sessions ^nns++++=sessions
lasting ^vwbg+++xvbg+=lasting
between ^in++++=between
10 ^cd++++=10
and ^cc++++=and
15 ^cd++++=15
minutes ^nns++++=minutes
each ^dt++++=each.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sessions ^nns++++=sessions
were ^vbd+bed+aux++=were
typically ^rb++splt++=typically
held ^vpsv++agls+xvbnx+=held
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
following ^jj++++=following
the ^ati++++=the
standardized ^jj+atrb+++=standardized
protocol ^nn++++=protocol
of ^in++++=of
the ^ati++++=the
b ^zz++++=B-PREA-R.
- ^zz++++=EXTRAWORD
prea-r. ^nn++++=EXTRAWORD
