Heterogeneity ^np+nom++??+=Heterogeneity
arises ^vbz++++=arises
when ^wrb+who+++=when
a ^at++++=a
sample ^nn++++=sample
contains ^vbz++++=contains
a ^at++++=a
mixture ^nn++++=mixture
of ^in++++=of
two ^cd++++=two
or ^cc++++=or
more ^rbr++++=more
distinct ^jj+atrb+++=distinct
genomic ^nn++++=genomic
sequences ^nns+nom+++=sequences
rather ^rb++++=rather
than ^in++++=than
a ^at++++=a
single ^jj++++=single,
, ^zz++++=EXTRAWORD
uniform ^nn++++=uniform
genome ^nn+++??+=genome.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
phenomenon ^nn++++=phenomenon
can ^md+pos+++=can
manifest ^jj++++=manifest
at ^rb++++=at
small ^jj+atrb+++=small
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
different ^jj+atrb+++=different
nucleotide ^nn+++??+=nucleotide
bases ^nns++++=bases
at ^rb++++=at
a ^at++++=a
specific ^jj+atrb+++=specific
locus ^nn++++=locus,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^in++++=at
larger ^jjr+atrb+++=larger
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
variations ^nns+nom+++=variations
in ^in++++=in
structural ^jj+atrb+++=structural
genome ^nn+++??+=genome
configurations ^nns+nom+++=configurations.
. ^zz++++=EXTRAWORD
Low ^jj++++=Low-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
heterogeneity ^nn+nom+++=heterogeneity,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
vast ^jj+atrb+++=vast
majority ^nn+nom+++=majority
of ^in++++=of
sequencing ^xvbg+++xvbg+=sequencing
reads ^vbz++++=reads
support ^nn++++=support
one ^cd1++++=one
sequence ^nn+nom+++=sequence
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
95 ^cd++++=95%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
minority ^nn+nom+++=minority
support ^nn++++=support
another ^dt++++=another
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
5% ^cd++++=5%),
