While ^cs+sub+++=While
cross ^jj++++=cross-country
- ^zz++++=EXTRAWORD
country ^nn++++=EXTRAWORD
comparisons ^nns++++=comparisons
yield ^vb++++=yield
valuable ^jj+atrb+++=valuable
insights ^nns++++=insights,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
also ^rb++++=also
important ^jj+pred+++=important
to ^to+jcmp+++=to
examine ^vbi++++=examine
publication ^nn+nom+++=publication
asymmetries ^nns++++=asymmetries
within ^in++++=within
individual ^jj+atrb+++=individual
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Scientific ^jj+atrb+++=Scientific
output ^nn++++=output
is ^vbz+bez+vrb++=is
frequently ^rb++++=frequently
centralized ^jj+pred+++=centralized,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
significant ^jj+atrb+++=significant
proportion ^nn+nom+++=proportion
of ^in++++=of
publications ^nns+nom+++=publications
originating ^vwbg+++xvbg+=originating
from ^in++++=from
major ^jj+atrb+++=major
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
from ^in++++=from
the ^ati++++=the
largest ^jjt+atrb+++=largest
institutions ^nns+nom+++=institutions
of ^in++++=of
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
identify ^vbi++++=identify
the ^ati++++=the
primary ^jj+atrb+++=primary
institutions ^nns+nom+++=institutions
responsible ^jj++++=responsible
for ^in++++=for
journal ^nn++++=journal
publishing ^nn++++=publishing
in ^in++++=in
latin ^jj+atrb+++=Latin
america ^np++++=America
and ^cc++++=and
the ^ati++++=the
caribbean ^np+nom+++=Caribbean.
. ^zz++++=EXTRAWORD
