Consistent ^jj++++=Consistent
with ^in++++=with
previous ^jj+atrb+++=previous
research ^nn++++=research,
, ^zz++++=EXTRAWORD
avoidance ^nn+nom+++=avoidance
was ^vbd+bedz+aux++=was
primarily ^rb+down+splt++=primarily
directed ^vpsv++agls+xvbnx+=directed
toward ^in++++=toward
colleagues ^nns++++=colleagues,
, ^zz++++=EXTRAWORD
superiors ^nns++++=superiors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
institutional ^jj+atrb+++=institutional
activities ^nns+nom+++=activities
such ^abl++++=such
as ^ql++++=as
research ^nn++++=research
and ^cc++++=and
extension ^nn++++=extension,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
limited ^jj+++xvbn+=limited
or ^cc++++=or
lack ^nn++++=lack
of ^in++++=of
control ^nn++++=control
individuals ^nns+nom+++=individuals
have ^vb+hv+vrb++=have
over ^in++++=over
these ^dt+dem+++=these
aspects ^nns++++=aspects
of ^in++++=of
their ^pp$+pp3+++=their
work ^nn++++=work
environment ^nn+nom+++=environment
( ^zz++++=(Akbari
akbari ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Buri ^np+++??+=Buri
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Teachers ^nns+nom+++=Teachers
generally ^rb+down+++=generally
cannot ^md+pos+not++=cannot
avoid ^vb++++=avoid
classroom ^nn++++=classroom
responsibilities ^nns+nom+++=responsibilities
or ^cc++++=or
interactions ^nns+nom+++=interactions
with ^in++++=with
students ^nns++++=students
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
inherent ^jj+atrb+++=inherent
requirements ^nns+nom+++=requirements
of ^in++++=of
their ^pp$+pp3+++=their
roles ^nns++++=roles;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
retain ^vb++++=retain
some ^dti++++=some
discretion ^nn+nom+++=discretion
in ^in++++=in
choosing ^xvbg+++xvbg+=choosing
whether ^cs+who+++=whether
to ^to++++=to
engage ^vbi++++=engage
with ^in++++=with
colleagues ^nns++++=colleagues
or ^cc++++=or
participate ^nn+nom+++=participate
in ^in++++=in
certain ^jj+atrb+++=certain
institutional ^jj+atrb+++=institutional
activities ^nns+nom+++=activities.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
avoidance ^nn+nom+++=avoidance
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
rationale ^nn++++=rationale
for ^in++++=for
some ^dti++++=some
counterproductive ^nn++++=counterproductive
behaviors ^nns++++=behaviors
observed ^jj++++=observed
in ^in++++=in
these ^dt+dem+++=these
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
