A ^at++++=A
central ^jj+atrb+++=central
issue ^nn++++=issue
in ^in++++=in
current ^jj+atrb+++=current
discussions ^nns++++=discussions
of ^in++++=of
scholarly ^nn++++=scholarly
publishing ^vwbg+++xvbg+=publishing
concerns ^nns++++=concerns
the ^ati++++=the
shift ^nn++++=shift
in ^in++++=in
business ^nns+nom+++=business
models ^nns++++=models
from ^in++++=from
subscription ^nn+nom+++=subscription-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
access ^nn++++=access
to ^in++++=to
author ^nn++++=author-funded
- ^zz++++=EXTRAWORD
funded ^jj+atrb++xvbn+=EXTRAWORD
publication ^nn+nom+++=publication
through ^in++++=through
Article ^nn++++=Article
Processing ^vwbg+++xvbg+=Processing
Charges ^nns++++=Charges
( ^zz++++=(APCs).
apcs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
collected ^vbd+++xvbn+=collected
data ^nns++++=data
on ^in++++=on
publication ^nn+nom+++=publication
fees ^nns++++=fees
from ^in++++=from
the ^ati++++=the
official ^jj+atrb+++=official
websites ^nns++++=websites
of ^in++++=of
each ^dt++++=each
journal ^nn++++=journal
included ^vbd+++xvbn+=included
in ^in++++=in
our ^pp$+pp1+++=our
study ^nn++++=study.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
journals ^nns+nom+++=journals
did ^vbd+dod+aux++=did
not ^xnot++not++=not
disclose ^vb++++=disclose
publication ^nn+nom+++=publication
fees ^nns++++=fees.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
analysis ^nn++++=analysis
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
this ^dt+dem+++=this
lack ^nn++++=lack
of ^in++++=of
information ^nn+nom+++=information
was ^vbd+bedz+vrb++=was
attributable ^jj+pred+++=attributable
to ^in++++=to
their ^pp$+pp3+++=their
status ^nn++++=status
as ^ql++++=as
diamond ^np++++=diamond
open ^jj+atrb+++=open
access ^nn++++=access
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
do ^vb+do+vrb++=do
not ^xnot++not++=not
charge ^nn++++=charge
fees ^nns++++=fees
to ^in++++=to
either ^dtx++++=either
authors ^nns++++=authors
or ^cc++++=or
readers ^nns+nom+++=readers.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
1,720 ^cd++++=1,720
journals ^nns+nom+++=journals
analyzed ^vbd+++xvbn+=analyzed,
, ^zz++++=EXTRAWORD
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
impose ^vb++++=impose
Apcs ^np+++??+=APCs,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
these ^dt+dem+++=these
( ^zz++++=(60%
60 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
182 ^cd++++=182
journals ^nns+nom+++=journals
charging ^vwbg+++xvbg+=charging
Apcs ^np+++??+=APCs)
) ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
published ^xvbn+++xvbn+=published
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^jj+atrb++xvbg+=finding
contrasts ^nns++++=contrasts
with ^in++++=with
the ^ati++++=the
results ^nns++++=results
reported ^vwbn+vpub++xvbn+=reported
by ^in++++=by
Appel ^np+++??+=Appel
and ^cc++++=and
Albagli ^np+++??+=Albagli
( ^zz++++=(2019),
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
in ^in++++=in
examining ^xvbg+++xvbg+=examining
a ^at++++=a
broader ^nn++++=broader
set ^vbd+++xvbn+=set
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
a ^at++++=a
much ^ap++++=much
lower ^jjr+atrb+++=lower
incidence ^nn+nom+++=incidence
of ^in++++=of
Apcs ^np+++??+=APCs.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Oliva ^np+++??+=OLIVA
database ^nn+++??+=database,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
is ^vbz+bez+aux++=is
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
leading ^jj+++xvbg+=leading
the ^ati++++=the
adoption ^nn+nom+++=adoption
of ^in++++=of
the ^ati++++=the
Apc ^np+++??+=APC
business ^nns+nom+++=business
model ^nn++++=model,
, ^zz++++=EXTRAWORD
followed ^j+++xvbn+=followed,
, ^zz++++=EXTRAWORD
in ^in++++=in
descending ^xvbg+++xvbg+=descending
order ^nn++++=order,
, ^zz++++=EXTRAWORD
by ^in++++=by
journals ^nns+nom+++=journals
published ^vbd+++xvbn+=published
in ^in++++=in
Mexico ^np++++=Mexico,
, ^zz++++=EXTRAWORD
Chile ^np+++??+=Chile,
, ^zz++++=EXTRAWORD
argentina ^np++++=Argentina,
, ^zz++++=EXTRAWORD
colombia ^np++++=Colombia,
, ^zz++++=EXTRAWORD
peru ^np++++=Peru,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
venezuela ^np++++=Venezuela.
. ^zz++++=EXTRAWORD
