According ^in+cmpx+++=According
to ^in++++=to
Biolo ^np+++??+=Biolo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013),
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cosmarium ^np+++??+=Cosmarium
moniliforme ^nn+++??+=moniliforme
closely ^rb++++=closely
resembles ^vbz++++=resembles
Cosmarium ^np+++??+=Cosmarium
contractum ^nn+++??+=contractum
Kirchner ^np+nom++??+=Kirchner
but ^cc++++=but
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
relatively ^rb++++=relatively
more ^rbr++++=more
subcircular ^nn+++??+=subcircular
semicells ^nns+++??+=semicells
and ^cc++++=and
an ^at++++=an
elliptical ^jj+atrb+++=elliptical
apical ^jj+atrb+++=apical
view ^nn++++=view.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
apical ^jj+atrb+++=apical
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
specimens ^nns++++=specimens
examined ^vwbn+++xvbn+=examined
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
observed ^jj+++xvbn+=observed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
subcircular ^nn+++??+=subcircular
semicells ^nns++++=semicells
supported ^vpsv++agls+xvbn+=supported
their ^pp$+pp3+++=their
identification ^nn+nom+++=identification
as ^ql++++=as
c ^zz++++=C.
. ^zz++++=EXTRAWORD
moniliforme ^nn++++=moniliforme.
. ^zz++++=EXTRAWORD
