Informed ^jj+atrb++xvbn+=Informed
consent ^nn++++=consent
is ^vbz+bez+vrb++=is
both ^abx++++=both
a ^at++++=a
legal ^jj+atrb+++=legal
requirement ^nn+nom+++=requirement
in ^in++++=in
many ^ap++++=many
jurisdictions ^nns+nom+++=jurisdictions,
, ^zz++++=EXTRAWORD
including ^in++++=including
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
moral ^jj+atrb+++=moral
obligation ^nn+nom+++=obligation.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
therefore ^rb+cnj+++=therefore
essential ^jj++++=essential
that ^tht+jcmp+obj++=that
participants ^nns+nom+++=participants
fully ^rb+amp+++=fully
understand ^vb+vprv+++=understand
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
their ^pp$+pp3+++=their
involvement ^nn+nom+++=involvement
and ^cc++++=and,
, ^zz++++=EXTRAWORD
in ^rb++++=in
particular ^rb"++++=particular,
, ^zz++++=EXTRAWORD
the ^ati++++=the
implications ^nns+nom+++=implications
of ^in++++=of
digital ^jj+atrb+++=digital
archiving ^nvbg+++xvbg+=archiving.
. ^zz++++=EXTRAWORD
A ^at++++=A
significant ^jj+atrb+++=significant
challenge ^nn++++=challenge
to ^to++++=to
obtaining ^vbi++++=obtaining
informed ^jj+atrb++xvbn+=informed
consent ^nn++++=consent
for ^in++++=for
archiving ^xvbg+++xvbg+=archiving
arises ^vbz++++=arises
from ^in++++=from
varying ^xvbg+++xvbg+=varying
levels ^nns++++=levels
of ^in++++=of
familiarity ^nn+nom+++=familiarity
with ^in++++=with
archives ^nn++++=archives,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Internet ^np+++??+=Internet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
computers ^nns+nom+++=computers
among ^in++++=among
community ^nn+nom+++=community
members ^nns+nom+++=members
and ^cc++++=and
participants ^nns+nom+++=participants.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Robinson ^np++++=Robinson
( ^zz++++=(2010,
2010 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
189 ^cd++++=189)
) ^zz++++=EXTRAWORD
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
questionable ^jj+pred+++=questionable
whether ^cs+who+++=whether
