Both ^abx++++=Both
the ^ati++++=the
instrumental ^jj+atrb+++=instrumental
and ^cc+phrs+++=and
deterministic ^jj+atrb+++=deterministic
perspectives ^nns++++=perspectives
conceptualize ^vb++++=conceptualize
technology ^nn++++=technology
as ^ql++++=as
neutral ^jj++++=neutral,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
overlooking ^jj+++xvbg+=overlooking
its ^pp$+it+++=its
inherent ^jj+atrb+++=inherent
cultural ^jj+atrb+++=cultural
and ^cc+phrs+++=and
social ^jj+atrb+++=social
values ^nns++++=values
and ^cc++++=and
attributing ^vbg+++xvbg+=attributing
outcomes ^nns+++??+=outcomes
solely ^rb++++=solely
to ^in++++=to
individual ^jj+atrb+++=individual
human ^jj+atrb+++=human
actions ^nns+nom+++=actions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
instrumental ^jj+atrb+++=instrumental
perspective ^nn++++=perspective
regards ^in++++=regards
technology ^nn++++=technology
exclusively ^rb++++=exclusively
as ^in++++=as
a ^at++++=a
tool ^nn++++=tool,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
deterministic ^jj+atrb+++=deterministic
perspective ^nn++++=perspective
frames ^nns++++=frames
technology ^nn++++=technology
as ^in++++=as
a ^at++++=a
solution ^nn+nom+++=solution
to ^in++++=to
various ^jj+atrb+++=various
social ^jj+atrb+++=social
problems ^nns++++=problems
whose ^whp+rel+obj++=whose
origins ^nns++++=origins
are ^vb+ber+vrb++=are
external ^jj+pred+++=external
to ^in++++=to
technological ^jj+atrb+++=technological
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
