During ^in++++=During
the ^ati++++=the
final ^jj+atrb+++=final
decade ^nn++++=decade
of ^in++++=of
the ^ati++++=the
twentieth ^od++++=twentieth
century ^nn++++=century
and ^cc++++=and
the ^ati++++=the
first ^od++++=first
decade ^nn++++=decade
of ^in++++=of
the ^ati++++=the
twenty ^cd++++=twenty-first
- ^zz++++=EXTRAWORD
first ^rb++++=EXTRAWORD
century ^nn++++=century,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
marked ^jj+atrb++xvbn+=marked
increase ^nn++++=increase
in ^in++++=in
scholarly ^jj+atrb+++=scholarly
attention ^nn+nom+++=attention
to ^in++++=to
globalisation ^nn+nom+++=globalisation
within ^in++++=within
the ^ati++++=the
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences.
. ^zz++++=EXTRAWORD
Sociological ^jj+atrb+++=Sociological
and ^cc+phrs+++=and
anthropological ^jj+atrb+++=anthropological
literature ^nn++++=literature
from ^in++++=from
this ^dt+dem+++=this
period ^nn++++=period
produced ^vbd+++xvbn+=produced
extensive ^jj+atrb+++=extensive
theoretical ^jj+atrb+++=theoretical
frameworks ^nns++++=frameworks
and ^cc++++=and
analyses ^nns++++=analyses
concerning ^in++++=concerning
the ^ati++++=the
evolving ^jj+++xvbg+=evolving
social ^jj+atrb+++=social
and ^cc+phrs+++=and
cultural ^jj+atrb+++=cultural
dynamics ^nn++++=dynamics
characteristic ^nn++++=characteristic
of ^in++++=of
late ^jj+atrb+++=late
modernity ^nn+nom+++=modernity
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Harvey ^np++++=Harvey,
, ^zz++++=EXTRAWORD
1989 ^cd+date+++=1989;
; ^zz++++=EXTRAWORD
Appadurai ^np+++??+=Appadurai,
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996;
; ^zz++++=EXTRAWORD
Castells ^np+++??+=Castells,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Hannerz ^np+++??+=Hannerz,
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Researchers ^nns+nom++??+=Researchers
highlighted ^vbd+++xvbn+=highlighted
several ^ap++++=several
key ^jjb+atrb+++=key
transformations ^nns+nom+++=transformations
associated ^vbd+++xvbn+=associated
with ^in++++=with
globalisation ^nn+nom+++=globalisation,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
intensification ^nn+nom+++=intensification
of ^in++++=of
transnational ^jj+atrb+++=transnational
migration ^nn+nom+++=migration,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rapid ^jj+atrb+++=rapid
advancement ^nn+nom+++=advancement
of ^in++++=of
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
significant ^jj+atrb+++=significant
changes ^nns++++=changes
in ^in++++=in
the ^ati++++=the
political ^jj+atrb+++=political
and ^cc+phrs+++=and
economic ^jj+atrb+++=economic
structures ^nns++++=structures
of ^in++++=of
various ^jj+atrb+++=various
regions ^nns++++=regions
worldwide ^nn++++=worldwide.
. ^zz++++=EXTRAWORD
