Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
erect ^vb++++=erect
to ^in++++=to
decumbent ^jj++++=decumbent,
, ^zz++++=EXTRAWORD
ranging ^vbg+++xvbg+=ranging
from ^in++++=from
stout ^nn++++=stout
to ^in++++=to
trunk ^nn++++=trunk-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
becoming ^jj+++xvbg+=becoming
glabrescent ^jj++++=glabrescent;
; ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
1.2 ^cd++++=1.2
2.2 ^cd++++=2.2
m ^zz++++=m
long ^rb++++=long;
; ^zz++++=EXTRAWORD
petioles ^nns+++??+=petioles
40 ^cd++++=40
80 ^cd++++=80
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
burgundy ^np++++=burgundy
proximally ^rb++++=proximally
and ^cc++++=and
stramineous ^jj++++=stramineous
distally ^rb+cnj+++=distally,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
proximal ^jj+atrb+++=proximal
portion ^nn+nom+++=portion
wrinkled ^vwbn+++xvbn+=wrinkled
to ^in++++=to
minutely ^rb++++=minutely
spiny ^jj+++??+=spiny;
; ^zz++++=EXTRAWORD
petiolar ^nn+++??+=petiolar
scales ^nns++++=scales
peltate ^nn+nom+++=peltate,
, ^zz++++=EXTRAWORD
blackish ^jj++++=blackish,
, ^zz++++=EXTRAWORD
with ^in++++=with
or ^cc++++=or
without ^in++++=without
lighter ^jjr++++=lighter,
, ^zz++++=EXTRAWORD
dentate ^nn+nom+++=dentate
margins ^nns++++=margins;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
1 ^zz++++=1-pinnate,
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
80 ^cd++++=80
140 ^cd++++=140
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
stramineous ^jj++++=stramineous
and ^cc+phrs+++=and
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
15 ^cd++++=15
25 ^cd++++=25
2.5 ^cd++++=2.5
3.5 ^cd++++=3.5
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
glabrous ^jj++++=glabrous
on ^in++++=on
both ^abx++++=both
abaxial ^jj+atrb+++=abaxial
and ^cc+phrs+++=and
adaxial ^jj+atrb+++=adaxial
surfaces ^nns++++=surfaces;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
typically ^rb++++=typically
1 ^zz++++=1-furcate,
- ^zz++++=EXTRAWORD
furcate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
rarely ^rb++++=rarely
simple ^jj++++=simple
or ^cc++++=or
2to ^cd++++=2to
3 ^zz++++=3-furcate
- ^zz++++=EXTRAWORD
furcate ^nn+nom+++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
pinnae ^nn+++??+=pinnae,
, ^zz++++=EXTRAWORD
glabrous ^jj++++=glabrous
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces;
; ^zz++++=EXTRAWORD
sori ^nn+++??+=sori
marginal ^jj++++=marginal,
, ^zz++++=EXTRAWORD
discrete ^jj++++=discrete,
, ^zz++++=EXTRAWORD
borne ^xvbn+++xvbn+=borne
at ^rb++++=at
the ^ati++++=the
tips ^nns++++=tips
of ^in++++=of
single ^jj+atrb+++=single
veins ^nns++++=veins,
, ^zz++++=EXTRAWORD
arranged ^vpbn+vsua++xvbn+=arranged
side ^nn++++=side
by ^in++++=by
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
opening ^nvbg+++xvbg+=opening
extrorsely ^jj++++=extrorsely;
; ^zz++++=EXTRAWORD
outer ^jjb++++=outer
indusia ^vb+++??+=indusia
unmodified ^vbd+++xvbn+=unmodified;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
indusia ^nn+++??+=indusia
hemi ^nn+++??+=hemi-umbonate,
- ^zz++++=EXTRAWORD
umbonate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
often ^rb++++=often
forming ^jj+atrb+++=forming
wings ^nns++++=wings
that ^tht+rel+subj++=that
connect ^vb++++=connect
adjacent ^jj+atrb+++=adjacent
sori ^nn++++=sori.
. ^zz++++=EXTRAWORD
