Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
indicated ^vprf+++xvbnx+=indicated
that ^tht+vcmp+++=that
this ^dt+dem+++=this
palm ^np++++=palm
species ^nns++++=species
may ^md+pos+++=may
exhibit ^vb++++=exhibit
seed ^nn++++=seed
dormancy ^nn+++??+=dormancy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
water ^nn++++=water
immersion ^nn++++=immersion
treatments ^nns+nom+++=treatments
can ^md+pos+++=can
enhance ^nn+nom+++=enhance
germination ^nn+nom+++=germination
( ^zz++++=(Fava
fava ^nn+++??+=EXTRAWORD
& ^zz++++=&
Alburqueque ^np+++??+=Alburqueque
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
Masetto ^np+++??+=Masetto
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
information ^nn+nom+++=information
regarding ^in++++=regarding
its ^pp$+it+++=its
seed ^nn++++=seed
storage ^nn+nom+++=storage
behavior ^nn++++=behavior
remains ^vbz++++=remains
limited ^jj+++xvbn+=limited
( ^zz++++=(but
but ^cc++++=EXTRAWORD
see ^vb+vprv+++=see
Masetto ^np+++??+=Masetto
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
species ^nn++++=species,
, ^zz++++=EXTRAWORD
including ^in++++=including
palm ^np++++=palm
species ^nns++++=species
that ^tht+rel+subj++=that
dominate ^nn+nom+++=dominate
wetland ^nn+++??+=wetland
ecosystems ^nns+++??+=ecosystems,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
display ^vb++++=display
fruit ^nn++++=fruit
and ^cc++++=and
seed ^nn++++=seed
dispersal ^nn+nom+++=dispersal
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
germination ^nn+nom+++=germination
strategies ^nns+++??+=strategies
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
water ^nn++++=water
pulses ^nns++++=pulses
( ^zz++++=(Orozco-Segovia
orozco ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
segovia ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Fabri ^np+++??+=Fabri
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Pires ^np+++??+=Pires
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Bao ^np+++??+=Bao
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
& ^zz++++=&
Viera ^np+++??+=Viera
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
evaluate ^nn+nom+++=evaluate
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
water ^nn++++=water
immersion ^nn++++=immersion
pretreatments ^nns+nom+++=pretreatments
( ^zz++++=(
25 ^cd++++=25
C ^zz++++=C
and ^cc++++=and
75 ^cd++++=75
C ^zz++++=C)
) ^zz++++=EXTRAWORD
and ^cc++++=and
one ^cd1++++=one
year ^nn++++=year
of ^in++++=of
storage ^nn+nom+++=storage
on ^in++++=on
the ^ati++++=the
seed ^nn++++=seed
germination ^nn+nom+++=germination
of ^in++++=of
C ^zz++++=C.
. ^zz++++=EXTRAWORD
alba ^nn+++??+=alba,
, ^zz++++=EXTRAWORD
addressing ^vbg+++xvbg+=addressing
the ^ati++++=the
following ^jj+atrb++xvbg+=following
research ^nn++++=research
questions ^nns+nom+++=questions:
: ^zz++++=EXTRAWORD
( ^zz++++=(i)
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
these ^dt+dem+++=these
seeds ^nns++++=seeds
exhibit ^vb++++=exhibit
