Regarding ^in++++=Regarding
W ^zz++++=W.
. ^zz++++=EXTRAWORD
cyathiformis ^nns+++??+=cyathiformis
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
6 ^zz++++=6),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
sprouts ^nns++++=sprouts
between ^in++++=between
terricolous ^jj+atrb+++=terricolous
and ^cc+phrs+++=and
epiphytic ^jj+atrb+++=epiphytic
relocation ^nn+nom+++=relocation
forms ^nns++++=forms
during ^in++++=during
each ^dt++++=each
observation ^nn+nom+++=observation
period ^nn++++=period
( ^zz++++=(p
p ^zz++++=EXTRAWORD
> ^zz++++=>
0.05 ^nn+++??+=0.05),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
the ^ati++++=the
method ^nn++++=method
of ^in++++=of
relocation ^nn+nom+++=relocation
did ^vbd+dod+aux++=did
not ^xnot++not++=not
affect ^vb++++=affect
sprout ^vb++++=sprout
production ^nn+nom+++=production
throughout ^in++++=throughout
the ^ati++++=the
experiment ^nn+nom+++=experiment.
. ^zz++++=EXTRAWORD
Sprout ^vb++++=Sprout
production ^nn+nom+++=production
remained ^vbd+++xvbn+=remained
statistically ^rb++++=statistically
constant ^jj++++=constant
over ^in++++=over
time ^nn++++=time
in ^in++++=in
both ^abx++++=both
terricolous ^jj+atrb+++=terricolous
and ^cc+phrs+++=and
epiphytic ^jj+atrb+++=epiphytic
forms ^nns++++=forms
( ^zz++++=(p
p ^zz++++=EXTRAWORD
> ^zz++++=>
0.05 ^nn+++??+=0.05),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
the ^ati++++=the
emission ^nn++++=emission
of ^in++++=of
sprouts ^nns++++=sprouts
is ^vbz+bez+vrb++=is
stable ^nn++++=stable
regardless ^rb++++=regardless
of ^in++++=of
relocation ^nn+nom+++=relocation
type ^nn++++=type.
. ^zz++++=EXTRAWORD
The ^ati++++=The
consistent ^jj+atrb+++=consistent
