All ^abn++++=All
Lindsaea ^np+++??+=Lindsaea
species ^nn++++=species
from ^in++++=from
Vi ^np+++??+=Vi
osa ^nn+++??+=osa
share ^vb++++=share
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
having ^xvbg+++xvbg+=having
2 ^zz++++=2-pinnate
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
laminae ^nn+++??+=laminae
and ^cc++++=and
dimidiate ^nn+nom+++=dimidiate
pinnules ^nns+++??+=pinnules.
. ^zz++++=EXTRAWORD
Lindsaea ^np+++??+=Lindsaea
lancea ^nn+++??+=lancea
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
lancea ^nn+++??+=lancea
is ^vbz+bez+aux++=is
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
the ^ati++++=the
other ^ap++++=other
two ^cd++++=two
taxa ^nn+++??+=taxa
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
continuous ^jj+atrb+++=continuous
sori ^nn+++??+=sori,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
L ^zz++++=L.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis
subsp ^nn+++??+=subsp.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
reddish ^jj++++=reddish-brown,
- ^zz++++=EXTRAWORD
brown ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
winged ^jj++++=winged
rachises ^vbz++++=rachises.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
stricta ^nn+++??+=stricta
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
stricta ^nn+++??+=stricta
can ^md+pos+++=can
be ^vb+be+aux++=be
identified ^vpsv++by+xvbnx+=identified
by ^in++++=by
its ^pp$+it+++=its
petioles ^nns+++??+=petioles,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
terete ^nn+++??+=terete
on ^in++++=on
the ^ati++++=the
abaxial ^jj+atrb+++=abaxial
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
pinnule ^nn+++??+=pinnule
length ^rb++++=length
varies ^vbz++++=varies
among ^in++++=among
the ^ati++++=the
three ^cd++++=three
taxa ^nn+++??+=taxa:
: ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
lancea ^nn+++??+=lancea
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
lancea ^nn+++??+=lancea
has ^vbz+hvz+vrb++=has
pinnules ^nns+++??+=pinnules
measuring ^vwbg+++xvbg+=measuring
1.5 ^cd++++=1.5
2 ^zz++++=2
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis
subsp ^nn+++??+=subsp.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis
has ^vbz+hvz+vrb++=has
pinnules ^nns+++??+=pinnules
measuring ^vwbg+++xvbg+=measuring
1.2 ^cd++++=1.2
1.5 ^cd++++=1.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
L ^zz++++=L.
. ^zz++++=EXTRAWORD
stricta ^nn+++??+=stricta
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
stricta ^nn+++??+=stricta
has ^vbz+hvz+vrb++=has
pinnules ^nns++++=pinnules
up ^rp++++=up
to ^to++++=to
1 ^zz++++=1
cm ^nnu++++=cm
in ^in++++=in
length ^nn++++=length.
. ^zz++++=EXTRAWORD
