All ^abn++++=All
the ^ati++++=the
football ^nn++++=football
club ^nn++++=club
names ^nns++++=names
analyzed ^vbd+++xvbn+=analyzed
were ^vbd+bed+vrb++=were
compound ^nn++++=compound
names ^nns++++=names
incorporating ^vwbg+++xvbg+=incorporating
elements ^nns+nom+++=elements
from ^in++++=from
a ^at++++=a
regional ^jj+atrb+++=regional
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
Tetum ^np+++??+=Tetum,
, ^zz++++=EXTRAWORD
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
English ^nn++++=English.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
acronyms ^nns+++??+=acronyms
Fc ^np+++??+=FC
and ^cc++++=and
As ^in++++=AS
reflected ^nn++++=reflected
established ^vbd+vprv++xvbn+=established
conventions ^nns+nom+++=conventions
in ^in++++=in
international ^jj+atrb+++=international
football ^nn++++=football
leagues ^nns++++=leagues.
. ^zz++++=EXTRAWORD
The ^ati++++=The
acronym ^nn+++??+=acronym
Fc ^np+++??+=FC,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
precedes ^vbz++++=precedes
the ^ati++++=the
club ^nn++++=club
name ^nn++++=name,
, ^zz++++=EXTRAWORD
aligns ^nns+++??+=aligns
with ^in++++=with
the ^ati++++=the
word ^nn++++=word
order ^to++++=order
typical ^jj++++=typical
of ^in++++=of
Portuguese ^jj+atrb+++=Portuguese
league ^nn++++=league
club ^nn++++=club
names ^nns++++=names,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
it ^pp3+it+++=it
indexes ^vbz+++??+=indexes
the ^ati++++=the
Anglophone ^np+++??+=Anglophone
world ^nn++++=world
and ^cc++++=and,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
a ^at++++=a
club ^nn++++=club
organizer ^jjr++++=organizer,
, ^zz++++=EXTRAWORD
stands ^vbz++++=stands
for ^in+ppvb+++=for
the ^ati++++=the
English ^jj+atrb+++=English
term ^nn++++=term
" ^zz++++="Football
football ^nn++++=EXTRAWORD
Club ^nn++++=Club."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
As ^ql++++=AS
is ^vbz+bez+vrb++=is
an ^at++++=an
acronym ^nn+++??+=acronym
frequently ^rb++++=frequently
used ^vbd+++xvbn+=used
in ^in++++=in
the ^ati++++=the
Italian ^jj+atrb+++=Italian
football ^nn++++=football
league ^nn++++=league
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
As ^ql++++=AS
Milan ^np++++=Milan),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
according ^in++++=according
to ^to++++=to
one ^cd1++++=one
interviewee ^nn+nom+++=interviewee,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
represents ^vbz++++=represents
the ^ati++++=the
Portuguese ^jj+atrb+++=Portuguese
word ^nn++++=word
" ^zz++++="Associa
associa ^nn+++??+=EXTRAWORD
o ^zz++++=o"
" ^zz++++=EXTRAWORD
( ^zz++++=(Association).
association ^nn+nom+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
members ^nns+nom+++=members
of ^in++++=of
As ^ql++++=AS
Bidau ^np+++??+=Bidau,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
acronym ^nn+++??+=acronym
thus ^rb+cnj+++=thus
indexes ^vbz+++??+=indexes
the ^ati++++=the
Portuguese ^jj+atrb+++=Portuguese
football ^nn++++=football
tradition ^nn+nom+++=tradition,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
closely ^rb++splt++=closely
followed ^vpsv++agls+xvbn+=followed
in ^in++++=in
timor ^np++++=Timor-Leste.
- ^zz++++=EXTRAWORD
leste. ^nn++++=EXTRAWORD
