Researchers ^nns+nom++??+=Researchers
who ^whp+rel+obj++=who
work ^nn++++=work
with ^in++++=with
discursive ^jj+atrb+++=discursive
data ^nns++++=data
and ^cc++++=and
qualitative ^jj+atrb+++=qualitative
methods ^nns++++=methods
utilize ^vb++++=utilize
a ^at++++=a
range ^nn++++=range
of ^in++++=of
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
identification ^nn+nom+++=identification
of ^in++++=of
themes ^nns++++=themes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
generation ^nn+nom+++=generation
and ^cc++++=and
classification ^nn+nom+++=classification
of ^in++++=of
analytical ^jj+atrb+++=analytical
units ^nns++++=units,
, ^zz++++=EXTRAWORD
the ^ati++++=the
categorization ^nn+nom+++=categorization
of ^in++++=of
these ^dt+dem+++=these
units ^nns++++=units,
, ^zz++++=EXTRAWORD
the ^ati++++=the
structuring ^nn++++=structuring
of ^in++++=of
narratives ^nns++++=narratives
to ^to++++=to
describe ^vbi++++=describe
content ^nn++++=content,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interpretation ^nn+nom+++=interpretation
of ^in++++=of
scenarios ^nns+++??+=scenarios,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
construction ^nn+nom+++=construction
of ^in++++=of
theoretical ^jj+atrb+++=theoretical
frameworks ^nns++++=frameworks
( ^zz++++=(Cohen
cohen ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
robson ^np++++=Robson,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
