Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
obtained ^vwbn+++xvbn+=obtained
by ^in++++=by
Luria ^np+++??+=Luria
served ^vbd+++xvbn+=served
as ^ql++++=as
foundational ^jj+atrb+++=foundational
points ^nns++++=points
for ^in++++=for
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
analyses ^nns++++=analyses
conducted ^vwbn+++xvbn+=conducted
by ^in++++=by
several ^ap++++=several
early ^jj+atrb+++=early
childhood ^nn+nom+++=childhood
researchers ^nns+nom+++=researchers
in ^in++++=in
Russia ^np++++=Russia,
, ^zz++++=EXTRAWORD
including ^in++++=including
F.i ^np+++??+=F.I.
. ^zz++++=EXTRAWORD
Yudovich ^np+++??+=Yudovich,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
Venguer ^np+++??+=Venguer,
, ^zz++++=EXTRAWORD
A.v ^np+++??+=A.V.
. ^zz++++=EXTRAWORD
Zaporozhets ^np+++??+=Zaporozhets,
, ^zz++++=EXTRAWORD
Z ^zz++++=Z.
. ^zz++++=EXTRAWORD
Neverovich ^np+++??+=Neverovich,
, ^zz++++=EXTRAWORD
A.n ^np+++??+=A.N.
. ^zz++++=EXTRAWORD
Leontiev ^np+++??+=Leontiev,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
D.b ^np+++??+=D.B.
. ^zz++++=EXTRAWORD
Elkonin ^np+++??+=Elkonin.
. ^zz++++=EXTRAWORD
Third ^rb+cnj+++=Third,
, ^zz++++=EXTRAWORD
Luria ^np+++??+=Luria
introduced ^vwbn+++xvbn+=introduced
three ^cd++++=three
functional ^jj+atrb+++=functional
units ^nns++++=units
as ^in++++=as
explanatory ^jj+atrb+++=explanatory
categories ^nns++++=categories
to ^to++++=to
facilitate ^nn+nom+++=facilitate
assessment ^nn+nom+++=assessment
from ^in++++=from
a ^at++++=a
holistic ^jj+atrb+++=holistic
perspective ^nn++++=perspective.
. ^zz++++=EXTRAWORD
Fourth ^rb+cnj+++=Fourth,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
developed ^vbd+++xvbnx+=developed
a ^at++++=a
system ^nn++++=system
of ^in++++=of
methods ^nns++++=methods
and ^cc++++=and
procedures ^nns++++=procedures
for ^in++++=for
holistic ^jj+atrb+++=holistic
assessment ^nn+nom+++=assessment,
, ^zz++++=EXTRAWORD
utilizing ^jj+atrb+++=utilizing
observation ^nn+nom+++=observation
and ^cc++++=and
neuropsychological ^jj+atrb+++=neuropsychological
factors ^nns++++=factors
as ^in++++=as
key ^jjb+atrb+++=key
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
