Teachers ^nns+nom+++=Teachers
reported ^vbd+vpub++xvbn+=reported
employing ^vbg+++xvbg+=employing
multiple ^jj+atrb+++=multiple
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies
in ^in++++=in
response ^nn++++=response
to ^in++++=to
each ^dt++++=each
emotional ^jj++++=emotional
demand ^vb++++=demand
encountered ^vbd+++xvbn+=encountered.
. ^zz++++=EXTRAWORD
Overall ^jjb+atrb+++=Overall,
, ^zz++++=EXTRAWORD
cognitive ^jj+atrb+++=cognitive
change ^nn++++=change
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
utilized ^vbd+++xvbn+=utilized
strategy ^nn++++=strategy,
, ^zz++++=EXTRAWORD
often ^rb++++=often
in ^in++++=in
combination ^nn+nom+++=combination
with ^in++++=with
other ^ap++++=other
approaches ^nns++++=approaches.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
cognitive ^jj+atrb+++=cognitive
change ^nn++++=change
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
alongside ^rb++++=alongside
situation ^nn+nom+++=situation
selection ^nn+nom+++=selection
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
16 ^cd++++=16),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
situation ^nn+nom+++=situation
modification ^nn+nom+++=modification
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
32 ^cd++++=32),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
attention ^nn+nom+++=attention
deployment ^nn+nom+++=deployment
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
10 ^cd++++=10),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
response ^nn++++=response
modulation ^nn+nom+++=modulation
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
14 ^cd++++=14).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
commonly ^rb++++=commonly
reported ^vbn+vpub++xvbn+=reported
sequences ^nns+nom+++=sequences
of ^in++++=of
strategy ^nn++++=strategy
use ^nn++++=use
were ^vbd+bed+vrb++=were:
: ^zz++++=EXTRAWORD
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
situation ^nn+nom+++=situation
selection ^nn+nom+++=selection
combined ^vbd+++xvbn+=combined
with ^in++++=with
cognitive ^jj+atrb+++=cognitive
modification ^nn+nom+++=modification,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
situation ^nn+nom+++=situation
modification ^nn+nom+++=modification
combined ^jj++++=combined
with ^in++++=with
cognitive ^jj+atrb+++=cognitive
change ^nn++++=change.
. ^zz++++=EXTRAWORD
