It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
these ^dt+dem+++=these
findings ^nns++++=findings
on ^in++++=on
classroom ^nn++++=classroom
interaction ^nn+nom+++=interaction
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
without ^in++++=without
providing ^xvbg+++xvbg+=providing
any ^dti++++=any
discursive ^nn++++=discursive
extracts ^nns++++=extracts
to ^in++++=to
the ^ati++++=the
reader ^nn++++=reader.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
instances ^nns+nom+++=instances,
, ^zz++++=EXTRAWORD
researchers ^nns+nom+++=researchers
include ^vb++++=include
only ^rb+down+++=only
brief ^jj+atrb+++=brief
extracts ^nns++++=extracts
to ^to++++=to
demonstrate ^nn+nom+++=demonstrate
the ^ati++++=the
application ^nn+nom+++=application
of ^in++++=of
their ^pp$+pp3+++=their
coding ^nvbg+++xvbg+=coding
scheme ^nn++++=scheme,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
as ^ql++++=as
integral ^jj+atrb+++=integral
components ^nns++++=components
of ^in++++=of
the ^ati++++=the
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
rely ^vb++++=rely
entirely ^rb+amp+++=entirely
on ^in++++=on
the ^ati++++=the
explanatory ^jj+atrb+++=explanatory
capacity ^nn+nom+++=capacity
of ^in++++=of
the ^ati++++=the
codes ^nns++++=codes
and ^cc++++=and
the ^ati++++=the
reliability ^nn+nom+++=reliability
of ^in++++=of
the ^ati++++=the
coding ^jj+atrb++xvbg+=coding
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
a ^at++++=a
qualitative ^jj+atrb+++=qualitative
approach ^nn++++=approach
would ^md+prd+++=would
not ^xnot++not++=not
provide ^vb+vsua+++=provide
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
generalizability ^nn+nom+++=generalizability
required ^vbd+++xvbn+=required
for ^in++++=for
descriptive ^jj+atrb+++=descriptive
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
objectivity ^nn+nom+++=objectivity
necessary ^jj++++=necessary
to ^to+jcmp+++=to
compare ^vbi++++=compare
changes ^nns++++=changes
in ^in++++=in
discursive ^jj+atrb+++=discursive
variables ^nns++++=variables
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
