Capoeira ^np+++??+=Capoeira
is ^vbz+bez+vrb++=is
a ^at++++=a
cultural ^jj+atrb+++=cultural
practice ^nn++++=practice
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
disseminated ^vprf+++xvbnx+=disseminated
globally ^rb++++=globally
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
diaspora ^nn++++=diaspora.
. ^zz++++=EXTRAWORD
Comparable ^jj++++=Comparable
to ^in++++=to
martial ^jj+atrb+++=martial
arts ^nns++++=arts
such ^abl++++=such
as ^ql++++=as
karate ^vb++++=karate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
terminology ^nn++++=terminology
for ^in++++=for
capoeira ^nn+++??+=capoeira
techniques ^nns++++=techniques
is ^vbz+bez+aux++=is
retained ^vpsv++agls+xvbnx+=retained
in ^in++++=in
the ^ati++++=the
original ^jj+atrb+++=original
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
Brazilian ^jj++++=Brazilian
and ^cc++++=and
Afro ^np+++??+=Afro-Brazilian
- ^zz++++=EXTRAWORD
brazilian ^jj+atrb+++=EXTRAWORD
Portuguese ^nn+nom+++=Portuguese.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
expressions ^nns++++=expressions
from ^in++++=from
this ^dt+dem+++=this
linguistic ^jj+atrb+++=linguistic
tradition ^nn+nom+++=tradition
are ^vb+ber+aux++=are
also ^rb++splt++=also
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
designate ^nn+nom+++=designate
various ^jj++++=various
other ^ap++++=other
concepts ^nns++++=concepts
associated ^vwbn+++xvbn+=associated
with ^in++++=with
capoeira ^nn++++=capoeira.
. ^zz++++=EXTRAWORD
these ^dt+pdem+++=These
include ^vb++++=include:
: ^zz++++=EXTRAWORD
