Table ^nn++++=Table
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
results ^nns++++=results
regarding ^in++++=regarding
differences ^nns+nom+++=differences
in ^in++++=in
neuropsychological ^jj+atrb+++=neuropsychological
development ^nn+nom+++=development
and ^cc++++=and
intelligence ^nn+nom+++=intelligence
among ^in++++=among
preschool ^nn+++??+=preschool
children ^nns++++=children
from ^in++++=from
two ^cd++++=two
provinces ^nns++++=provinces.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Student ^nn++++=Student
s ^zz++++=s
t ^zz++++=t-test,
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
intelligence ^nn+nom+++=intelligence,
, ^zz++++=EXTRAWORD
manual ^jj+atrb+++=manual
dexterity ^nn+nom+++=dexterity,
, ^zz++++=EXTRAWORD
manual ^jj+atrb+++=manual
gestures ^nns++++=gestures
and ^cc++++=and
praxis ^nns+++??+=praxis,
, ^zz++++=EXTRAWORD
verbal ^jj+atrb+++=verbal
regulation ^nn+nom+++=regulation
of ^in++++=of
motor ^nn++++=motor
acts ^nns++++=acts,
, ^zz++++=EXTRAWORD
visual ^jj+atrb+++=visual
denomination ^nn+nom+++=denomination
of ^in++++=of
objects ^nns++++=objects
and ^cc++++=and
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
phonematic ^jj+atrb+++=phonematic
hearing ^nvbg+vprv++xvbg+=hearing,
, ^zz++++=EXTRAWORD
image ^nn++++=image-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
vocabulary ^nn+nom+++=vocabulary,
, ^zz++++=EXTRAWORD
numerical ^jj+atrb+++=numerical
operations ^nns+nom+++=operations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rapid ^jj+atrb+++=rapid
color ^nn++++=color
naming ^vwbg+++xvbg+=naming,
, ^zz++++=EXTRAWORD
with ^in++++=with
higher ^jjr+atrb+++=higher
scores ^nns++++=scores
in ^in++++=in
the ^ati++++=the
group ^nn++++=group
from ^in++++=from
Sancti ^np+++??+=Sancti
Sp ^&fo++++=Sp
ritus ^nns+++??+=ritus.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
in ^in++++=in
picture ^nn++++=picture
naming ^vwbg+++xvbg+=naming
and ^cc++++=and
visual ^jj+atrb+++=visual
memory ^nn++++=memory
favored ^vbd+++xvbn+=favored
the ^ati++++=the
group ^nn++++=group
from ^in++++=from
cienfuegos ^np++++=Cienfuegos
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
figure ^nn++++=Figure
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
