Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
water ^nn++++=water
treatments ^nns+nom+++=treatments
had ^vb+hv+vrb++=had
a ^at++++=a
positive ^jj+atrb+++=positive
effect ^nn++++=effect
on ^in++++=on
germination ^nn+nom+++=germination.
. ^zz++++=EXTRAWORD
Freshly ^rb++++=Freshly
harvested ^vwbn+++xvbn+=harvested
pyrenes ^vbz+++??+=pyrenes
achieved ^vbd+++xvbn+=achieved
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
germination ^nn+nom+++=germination
following ^vwbg+++xvbg+=following
immersion ^nn++++=immersion
in ^in++++=in
water ^nn++++=water
for ^in++++=for
48 ^cd++++=48
and ^cc++++=and
72 ^cd++++=72
hours ^nns++++=hours
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2a ^cd++++=2a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Stored ^xvbn+++xvbn+=Stored
pyrenes ^nns+++??+=pyrenes
exhibited ^vbd+++xvbn+=exhibited
32 ^cd++++=32%
% ^zz++++=EXTRAWORD
germination ^nn+nom+++=germination
after ^in++++=after
24 ^cd++++=24
hours ^nns++++=hours
of ^in++++=of
soaking ^xvbg+++xvbg+=soaking,
, ^zz++++=EXTRAWORD
increasing ^jj+++xvbg+=increasing
to ^in++++=to
approximately ^rb+down+++=approximately
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
after ^in++++=after
48 ^cd++++=48
and ^cc++++=and
72 ^cd++++=72
hours ^nns++++=hours
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2b ^cd++++=2b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
treatments ^nns+nom+++=treatments
of ^in++++=of
48 ^cd++++=48
and ^cc++++=and
72 ^cd++++=72
hours ^nns++++=hours
also ^rb++++=also
reduced ^vbd+++xvbn+=reduced
the ^ati++++=the
mean ^jj+atrb+++=mean
germination ^nn+nom+++=germination
time ^nn++++=time
( ^zz++++=(MGT)
mgt ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
freshly ^rb++++=freshly
harvested ^vwbn+++xvbn+=harvested
pyrenes ^nns+++??+=pyrenes
to ^in++++=to
around ^rp++++=around
20 ^cd++++=20
days ^nns++++=days,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
to ^to++++=to
25 ^cd++++=25
days ^nns++++=days
in ^in++++=in
the ^ati++++=the
control ^nn++++=control
group ^nn++++=group
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2c ^cd++++=2c),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
faster ^rbr++++=faster
germination ^nn+nom+++=germination.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
no ^at++++=no
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
in ^in++++=in
mean ^jj+atrb+++=mean
germination ^nn+nom+++=germination
time ^nn++++=time
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
among ^in++++=among
treatments ^nns+nom+++=treatments
for ^in++++=for
stored ^vbd+++xvbn+=stored
pyrenes ^nns+++??+=pyrenes
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2d ^cd++++=2d).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
immersion ^nn++++=immersion
in ^in++++=in
water ^nn++++=water
for ^in++++=for
two ^cd++++=two
to ^to++++=to
three ^cd++++=three
days ^nns++++=days
enhances ^nns+nom+++=enhances
the ^ati++++=the
germination ^nn+nom+++=germination
of ^in++++=of
freshly ^rb++++=freshly
harvested ^vwbn+++xvbn+=harvested
C ^zz++++=C.
. ^zz++++=EXTRAWORD
alba ^nn+++??+=alba
pyrenes ^nns+++??+=pyrenes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
facilitate ^nn+nom+++=facilitate
more ^rbr++++=more
rapid ^jj+atrb+++=rapid
germination ^nn+nom+++=germination
and ^cc++++=and
seedling ^nn+nom+++=seedling
establishment ^nn+nom+++=establishment
in ^in++++=in
