Analyzing ^np+++??+=Analyzing
discursive ^nn++++=discursive
interaction ^nn+nom+++=interaction
is ^vbz+bez+vrb++=is
a ^at++++=a
process ^nns+nom+++=process
that ^tht+rel+subj++=that
involves ^vbz++++=involves
constructing ^vbg+++xvbg+=constructing
meaning ^nvbg+++xvbg+=meaning
from ^in++++=from
the ^ati++++=the
expressions ^nns++++=expressions
and ^cc++++=and
perspectives ^nns++++=perspectives
of ^in++++=of
participants ^nns+nom+++=participants,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
social ^jj++++=social,
, ^zz++++=EXTRAWORD
cultural ^jj++++=cultural,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
situational ^jj+atrb+++=situational
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
analytical ^jj+atrb+++=analytical
process ^nns+nom+++=process
is ^vbz+bez+vrb++=is
inherently ^rb++++=inherently
interpretive ^jj+pred+++=interpretive
and ^cc++++=and
is ^vbz+bez+aux++=is
closely ^rb++splt++=closely
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
reflexivity ^nn+nom+++=reflexivity,
, ^zz++++=EXTRAWORD
as ^in++++=as
researchers ^nns+nom+++=researchers
inevitably ^rb++++=inevitably
introduce ^vb++++=introduce
their ^pp$+pp3+++=their
own ^ap++++=own
preconceptions ^nns+nom+++=preconceptions,
, ^zz++++=EXTRAWORD
interests ^nns++++=interests,
, ^zz++++=EXTRAWORD
biases ^nns+++??+=biases,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
agendas ^nns++++=agendas
into ^in++++=into
the ^ati++++=the
analysis ^nn++++=analysis
( ^zz++++=(Cohen
cohen ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
