A ^ap++++=A
few ^ap"++++=few
years ^nns++++=years
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
joined ^vbd+++xvbnx+=joined
the ^ati++++=the
organized ^jj+atrb++xvbn+=organized
group ^nn++++=group
Guardi ^np+++??+=Guardi
es ^&fw++++=es
Brasileiros ^np+++??+=Brasileiros.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
outset ^nn++++=outset,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
primary ^jj+atrb+++=primary
interests ^nns++++=interests
were ^vbd+bed+vrb++=were
self ^nn++++=self-defense
- ^zz++++=EXTRAWORD
defense ^nn+++??+=EXTRAWORD
and ^cc++++=and
street ^nn++++=street
fighting ^vwbg+++xvbg+=fighting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
deliberately ^rb++++=deliberately
incorporated ^vbd+++xvbn+=incorporated
elements ^nns+nom+++=elements
of ^in++++=of
this ^dt+dem+++=this
capoeira ^nn+++??+=capoeira
de ^&fw++++=de
rua ^nn++++=rua
into ^in++++=into
his ^pp$+pp3+++=his
practice ^nn++++=practice
as ^in++++=as
a ^at++++=a
contramestre ^nn++++=contramestre.
. ^zz++++=EXTRAWORD
