Incentives ^nns++++=Incentives
for ^in++++=for
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
the ^ati++++=the
Digital ^jj+atrb+++=Digital
Government ^nn+nom+++=Government
project ^nn++++=project
and ^cc++++=and
other ^ap++++=other
Ict ^np+++??+=ICT
integrations ^nns+nom+++=integrations
in ^in++++=in
public ^jj+atrb+++=public
services ^nns++++=services
are ^vb+ber+aux++=are
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
recommendations ^nns+nom+++=recommendations
from ^in++++=from
international ^jj+atrb+++=international
multilateral ^nn+nom+++=multilateral
organizations ^nns+nom+++=organizations
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
World ^nn++++=World
Bank ^nn++++=Bank,
, ^zz++++=EXTRAWORD
the ^ati++++=the
World ^nn++++=World
Trade ^nn++++=Trade
Organization ^nn+nom+++=Organization
( ^zz++++=(WTO),
wto ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Organization ^nn+nom+++=Organization
for ^in++++=for
Economic ^jj+atrb+++=Economic
Cooperation ^nn+nom+++=Cooperation
and ^cc++++=and
Development ^nn+nom+++=Development
( ^zz++++=(OECD),
oecd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+dem+++=those
related ^jj+++xvbn+=related
to ^in++++=to
economic ^jj+atrb+++=economic
interests ^nns++++=interests.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
recommendations ^nns+nom+++=recommendations
contrast ^nn++++=contrast
with ^in++++=with
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
financial ^nn++++=financial
support ^vb++++=support
provided ^vbd+vsua++xvbn+=provided
to ^in++++=to
Brazil ^np++++=Brazil
( ^zz++++=(Lib
lib ^nn++++=EXTRAWORD
neo ^np++++=neo,
, ^zz++++=EXTRAWORD
2016a ^cd++++=2016a;
; ^zz++++=EXTRAWORD
freitas ^np++++=Freitas,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
evangelista ^np++++=Evangelista,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
