However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
archival ^jj+atrb+++=archival
projects ^nns++++=projects
include ^vb++++=include
at ^rb++++=at
least ^rb"++++=least
some ^dti++++=some
speakers ^nns+nom+++=speakers
who ^whp+rel+subj++=who
do ^vb+do+vrb++=do
not ^xnot++not++=not
interact ^nn+++??+=interact
directly ^rb++++=directly
with ^in++++=with
the ^ati++++=the
archive ^nn++++=archive
and ^cc++++=and
may ^md+pos+++=may
lack ^vb++++=lack
prior ^jj+atrb+++=prior
familiarity ^nn+nom+++=familiarity
with ^in++++=with
archiving ^xvbg+++xvbg+=archiving
practices ^nns++++=practices
or ^cc++++=or
their ^pp$+pp3+++=their
implications ^nns+nom+++=implications.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kawahiva ^np+++??+=Kawahiva
Language ^nn+nom+++=Language
Documentation ^np+nom++??+=Documentation
Archive ^np+++??+=Archive
( ^zz++++=(Dos
dos ^nns+++??+=EXTRAWORD
Santos ^np++++=Santos,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
present ^jj++++=present)
) ^zz++++=EXTRAWORD
exemplifies ^vbz++++=exemplifies
this ^dt+dem+++=this
situation ^nn+nom+++=situation;
; ^zz++++=EXTRAWORD
the ^ati++++=the
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
continuously ^rb++splt++=continuously
developed ^vpsv++agls+xvbnx+=developed,
, ^zz++++=EXTRAWORD
comprises ^vbz++++=comprises
audio ^nn+++??+=audio
and ^cc++++=and
video ^nn+++??+=video
recordings ^nns++++=recordings
of ^in++++=of
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
conversations ^nns+nom+++=conversations,
, ^zz++++=EXTRAWORD
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
elicitation ^nn+nom+++=elicitation
sessions ^nns++++=sessions,
, ^zz++++=EXTRAWORD
meetings ^nns++++=meetings,
, ^zz++++=EXTRAWORD
field ^nn++++=field
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
photographs ^nns++++=photographs.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
project ^nn++++=project,
, ^zz++++=EXTRAWORD
two ^cd++++=two
speakers ^nns+nom+++=speakers
regularly ^rb++++=regularly
record ^nn++++=record,
, ^zz++++=EXTRAWORD
transcribe ^nn+++??+=transcribe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
submit ^vb+vpub+++=submit
files ^nns++++=files
for ^in++++=for
monthly ^jj+atrb+++=monthly
archiving ^nvbg+++xvbg+=archiving,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Dos ^np+++??+=Dos
Santos ^np++++=Santos
( ^zz++++=(personal
personal ^jj+atrb+++=EXTRAWORD
communication ^nn+nom+++=communication),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fosters ^nns+nom+++=fosters
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
ownership ^nn+nom+++=ownership
over ^in++++=over
the ^ati++++=the
archive ^nn++++=archive
among ^in++++=among
the ^ati++++=the
contributors ^nns++++=contributors.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
depositor ^nn++++=depositor,
, ^zz++++=EXTRAWORD
Wesley ^np++++=Wesley
dos ^nns+++??+=dos
Santos ^np++++=Santos,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
produced ^vprf+++xvbnx+=produced
a ^at++++=a
video ^nn+++??+=video
to ^to++++=to
instruct ^vbi++++=instruct
community ^nn+nom+++=community
members ^nns+nom+++=members
on ^in++++=on
how ^wrb+who+++=how
to ^in++++=to
access ^nn++++=access
the ^ati++++=the
materials ^nns+nom+++=materials
through ^in++++=through
the ^ati++++=the
california ^np++++=California
language ^nn+nom+++=Language
archive ^np++++=Archive.
. ^zz++++=EXTRAWORD
