Consistent ^jj++++=Consistent
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
Akbari ^np+++??+=Akbari
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Buri ^np+++??+=Buri
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
family ^nn++++=family
was ^vbd+bedz+aux++=was
infrequently ^rb++splt++=infrequently
referenced ^vpsv++agls+xvbnx+=referenced.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Sheppes ^np+++??+=Sheppes
( ^zz++++=(2014),
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
situations ^nns+nom+++=situations
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
high ^jj+atrb+++=high
frequency ^nn++++=frequency
of ^in++++=of
demand ^nn++++=demand
necessitate ^nn+nom+++=necessitate
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
strategies ^nns+++??+=strategies
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
more ^rbr++++=more
contextually ^rb++++=contextually
adaptive ^jj++++=adaptive,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
reappraisal ^nn+nom+++=reappraisal
or ^cc++++=or
cognitive ^jj+atrb+++=cognitive
change ^nn++++=change.
. ^zz++++=EXTRAWORD
Attention ^nn+nom+++=Attention
deployment ^nn+nom+++=deployment
encompasses ^vbz++++=encompasses
distraction ^nn+nom+++=distraction
techniques ^nns++++=techniques,
, ^zz++++=EXTRAWORD
including ^in++++=including
excessive ^jj+atrb+++=excessive
worry ^nn++++=worry
and ^cc++++=and
rumination ^nn+nom+++=rumination,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
focusing ^jj+++xvbg+=focusing
on ^in++++=on
non ^&fw++++=non-emotional
- ^zz++++=EXTRAWORD
emotional ^jj+atrb+++=EXTRAWORD
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
situation ^nn+nom+++=situation
or ^cc++++=or
on ^in++++=on
unrelated ^jj+atrb+++=unrelated
thoughts ^nns++++=thoughts
and ^cc++++=and
memories ^nns++++=memories.
. ^zz++++=EXTRAWORD
