Rhizomes ^np+++??+=Rhizomes
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
long ^jj+pred+++=long-creeping
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
and ^cc++++=and
solenostelic ^nn++++=solenostelic,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
rarely ^rb++++=rarely
dictyostelic ^jj+pred+++=dictyostelic
or ^cc++++=or
polycyclic ^nn++++=polycyclic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
typically ^rb++++=typically
bear ^vb+vprv+++=bear
hairs ^nns++++=hairs
or ^cc++++=or,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
commonly ^rb+cnj+++=commonly,
, ^zz++++=EXTRAWORD
primitive ^jj+atrb+++=primitive
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
are ^vb+ber+vrb++=are
monomorphic ^jj+pred+++=monomorphic;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
often ^rb++++=often
possess ^nns+nom+++=possess
epipetiolar ^jj+atrb++??+=epipetiolar
buds ^nns++++=buds
and ^cc++++=and
usually ^rb+down+++=usually
contain ^vb++++=contain
an ^at++++=an
omega ^nn+++??+=omega-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
vascular ^nn+++??+=vascular
strand ^npl++++=strand.
. ^zz++++=EXTRAWORD
Laminae ^np+++??+=Laminae
are ^vb+ber+vrb++=are
2to ^cd++++=2to
5 ^zz++++=5-pinnate,
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
rarely ^rb++++=rarely
less ^rbr++++=less
dissected ^jj+++xvbn+=dissected.
. ^zz++++=EXTRAWORD
Veins ^nns++++=Veins
are ^vb+ber+vrb++=are
usually ^rb+down+++=usually
free ^jj+pred+++=free,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
may ^md+pos+++=may
rarely ^rb++++=rarely
be ^vb+be+aux++=be
anastomosing ^vbg+++xvbgx+=anastomosing,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
case ^nn++++=case
included ^vbd+++xvbn+=included
veinlets ^nns+nom+++=veinlets
are ^vb+ber+vrb++=are
absent ^jj+pred+++=absent.
. ^zz++++=EXTRAWORD
The ^ati++++=The
indument ^nn+nom+++=indument
consists ^nns+nom+++=consists
of ^in++++=of
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
may ^md+pos+++=may
be ^vb+be+vrb++=be
absent ^jj+pred+++=absent.
. ^zz++++=EXTRAWORD
Sori ^np+++??+=Sori
are ^vb+ber+vrb++=are
marginal ^jj+pred+++=marginal
or ^cc++++=or
submarginal ^nn+nom+++=submarginal,
, ^zz++++=EXTRAWORD
linear ^jj++++=linear
or ^cc+phrs+++=or
discrete ^jj++++=discrete,
, ^zz++++=EXTRAWORD
introrse ^nn+++??+=introrse
or ^cc++++=or
extrorse ^nn+++??+=extrorse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+aux++=are
protected ^vpsv++by+xvbnx+=protected
by ^in++++=by
outer ^jjb+atrb+++=outer
and ^cc+phrs+++=and/or
inner ^jjb+atrb+++=inner
indusia ^nn+++??+=indusia,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rarely ^rb++++=rarely
lack ^nn++++=lack
protection ^nn+nom+++=protection.
. ^zz++++=EXTRAWORD
Spores ^np+++??+=Spores
are ^vb+ber+vrb++=are
either ^dtx++++=either
tetrahedral ^jj++++=tetrahedral
and ^cc++++=and
trilete ^nn+++??+=trilete,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
reniform ^nn+++??+=reniform
and ^cc++++=and
monolete ^nn++++=monolete
( ^zz++++=(Smith
smith ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
