Some ^dti++++=Some
families ^nns++++=families
were ^vbd+bed+aux++=were
analyzed ^vpsv++agls+xvbnx+=analyzed
with ^in++++=with
only ^rb+down+++=only
a ^at++++=a
single ^jj+atrb+++=single
species ^nns++++=species
classified ^vwbn+++xvbn+=classified
as ^ql++++=as
a ^at++++=a
cleaner ^jjr++++=cleaner,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Coraciidae ^np+++??+=Coraciidae,
, ^zz++++=EXTRAWORD
Cuculidae ^np+++??+=Cuculidae,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Furnariidae ^np+++??+=Furnariidae.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
tendency ^nn++++=tendency
for ^in++++=for
cleaner ^jjr+atrb+++=cleaner
species ^nn++++=species
to ^to++++=to
exhibit ^vbi++++=exhibit
a ^at++++=a
more ^rbr++++=more
diverse ^jj+atrb+++=diverse
diet ^nn++++=diet
compared ^vbd+++xvbn+=compared
to ^in++++=to
other ^ap++++=other
species ^nn++++=species
within ^in++++=within
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
families ^nns++++=families.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Furnariidae ^np+++??+=Furnariidae
family ^nn++++=family,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mean ^jj+atrb+++=mean
H ^zz++++=H
value ^nn++++=value
was ^vbd+bedz+vrb++=was
approximately ^rb+down+++=approximately
0.113 ^jj+pred++??+=0.113
when ^wrb+who+++=when
excluding ^vbg+++xvbg+=excluding
the ^ati++++=the
cleaner ^nn++++=cleaner
species ^nn++++=species
( ^zz++++=(representing
representing ^vbg+++xvbg+=EXTRAWORD
about ^in++++=about
99.5 ^cd++++=99.5%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
family ^nn++++=family),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
mean ^jj+atrb+++=mean
H ^zz++++=H
value ^nn++++=value
for ^in++++=for
the ^ati++++=the
cleaner ^jjr+atrb+++=cleaner
species ^nn++++=species
alone ^rb++++=alone
was ^vbd+bedz+vrb++=was
approximately ^rb+down+++=approximately
0.5 ^nn+++??+=0.5
( ^zz++++=(representing
representing ^vbg+++xvbg+=EXTRAWORD
about ^in++++=about
0.45 ^nn+++??+=0.45%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
family ^nn++++=family).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
Relevant ^jj+atrb+++=relevant
Values ^nns++++=values
Are ^vb+ber+aux++=are
Presented ^vbd+++xvbn+=presented
In ^in++++=in
Supplementary ^jj+atrb+++=Supplementary
Figure ^nn++++=Figure
b ^cd++++=1b.
 ^zz++++=EXTRAWORD
