Spoken ^vprf+++xvbn+=Spoken
language ^nn+nom+++=language
may ^md+pos+++=may
be ^vb+be+aux++=be
replaced ^vpsv++by+xvbnx+=replaced
by ^in++++=by
the ^ati++++=the
demonstration ^nn+nom+++=demonstration
of ^in++++=of
movement ^nn+nom+++=movement
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
on ^in++++=on
one ^cd1++++=one
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
Sandro ^np+++??+=Sandro
gathers ^nns+nom+++=gathers
his ^pp$+pp3+++=his
students ^nns++++=students
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
silently ^rb++++=silently
performs ^vbz++++=performs
a ^at++++=a
movement ^nn+nom+++=movement
toward ^in++++=toward
the ^ati++++=the
opposite ^jj+atrb+++=opposite
side ^nn++++=side,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
students ^nns++++=students
following ^vwbg+++xvbg+=following
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
verbal ^jj+atrb+++=verbal
explanation ^nn+nom+++=explanation
is ^vbz+bez+vrb++=is
unnecessary ^jj+pred+++=unnecessary,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
activity ^nn+nom+++=activity
is ^vbz+bez+vrb++=is
already ^rb++++=already
familiar ^jj+pred+++=familiar
to ^to++++=to
the ^ati++++=the
students ^nns++++=students.
. ^zz++++=EXTRAWORD
