Anatomical ^jj+atrb+++=Anatomical
structure ^nn++++=structure
The ^ati++++=The
stems ^nns++++=stems
of ^in++++=of
Amphilophium ^np+++??+=Amphilophium
curcigerum ^nn+++??+=curcigerum
( ^zz++++=(L.)
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
L.g.lohmann ^np+++??+=L.G.Lohmann
( ^zz++++=(Bignoniaceae)
bignoniaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
slender ^jj+pred+++=slender,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
average ^jj+atrb+++=average
diameter ^nn+nom+++=diameter
of ^in++++=of
8.4 ^cd++++=8.4
mm ^nnu++++=mm
( ^zz++++=(
1.35 ^cd++++=1.35
mm ^nnu++++=mm
standard ^jj+atrb+++=standard
deviation ^nn+nom+++=deviation),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exhibit ^vb++++=exhibit
a ^at++++=a
cylindrical ^jj+atrb+++=cylindrical
morphology ^nn++++=morphology
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1a ^cd++++=1a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
stems ^nns++++=stems
possess ^nns+nom+++=possess
a ^at++++=a
cambial ^jj++++=cambial
variant ^jj++++=variant
characterized ^vpsv++by+xvbn+=characterized
by ^in++++=by
xylem ^nn++++=xylem
interrupted ^vwbn+++xvbn+=interrupted
by ^in++++=by
phloem ^nn+++??+=phloem
wedges ^nns+++??+=wedges
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1b ^cd++++=1b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
secondary ^jj+atrb+++=secondary
xylem ^nn+++??+=xylem
contains ^vbz++++=contains
wide ^jj+atrb+++=wide
vessels ^nns++++=vessels
and ^cc++++=and
broad ^jj+atrb+++=broad
rays ^nns++++=rays,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
readily ^rb++++=readily
observable ^jj+pred+++=observable
in ^in++++=in
macroscopic ^jj+atrb+++=macroscopic
transverse ^jj+atrb+++=transverse
sections ^nns+nom+++=sections
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1b ^cd++++=1b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
leaves ^nns++++=leaves
are ^vb+ber+vrb++=are
slightly ^rb+down+++=slightly
asymmetrical ^jj+pred+++=asymmetrical
and ^cc++++=and
cordiform ^nn+++??+=cordiform,
, ^zz++++=EXTRAWORD
with ^in++++=with
pinnate ^nn+nom+++=pinnate
venation ^nn+nom+++=venation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
leaf ^nn++++=leaf
mesophyll ^nn+++??+=mesophyll
is ^vbz+bez+vrb++=is
dorsiventral ^jj+pred+++=dorsiventral,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
two ^cd++++=two
layers ^nns++++=layers
of ^in++++=of
palisade ^nn+++??+=palisade
parenchyma ^nn+++??+=parenchyma
and ^cc++++=and
approximately ^rb+down+++=approximately
three ^cd++++=three
layers ^nns++++=layers
of ^in++++=of
lacunose ^nn++++=lacunose
parenchyma ^nn++++=parenchyma
( ^zz++++=(Figures
figures ^nns++++=EXTRAWORD
1c ^cd++++=1c
d ^zz++++=d).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
