To ^in++++=To
address ^nns+nom+++=address
these ^dt+dem+++=these
limitations ^nns+nom+++=limitations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
B ^zz++++=B-PREA
- ^zz++++=EXTRAWORD
prea ^nn+++??+=EXTRAWORD
was ^vbd+bedz+aux++=was
modified ^vpsv++agls+xvbnx+=modified
to ^to++++=to
enhance ^nn+nom+++=enhance
its ^pp$+it+++=its
appeal ^nn++++=appeal,
, ^zz++++=EXTRAWORD
reduce ^vb++++=reduce
its ^pp$+it+++=its
length ^nn++++=length,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
facilitate ^nn+nom+++=facilitate
its ^pp$+it+++=its
use ^nn++++=use
by ^in++++=by
educators ^nns++++=educators
in ^in++++=in
the ^ati++++=the
preschool ^nn+++??+=preschool
educational ^jj+atrb+++=educational
context ^nn++++=context.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
revisions ^nns+++??+=revisions
were ^vbd+bed+aux++=were
guided ^vpsv++by+xvbnx+=guided
by ^in++++=by
the ^ati++++=the
methodological ^jj+atrb+++=methodological
recommendations ^nns+nom+++=recommendations
of ^in++++=of
early ^jj+atrb+++=early
childhood ^nn+nom+++=childhood
education ^nn+nom+++=education
experts ^nns++++=experts
in ^in++++=in
Cuba ^np++++=Cuba
( ^zz++++=(Gallo
gallo ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
subtests ^nns+++??+=subtests
of ^in++++=of
the ^ati++++=the
B ^zz++++=B-PREA
- ^zz++++=EXTRAWORD
prea ^nn+++??+=EXTRAWORD
were ^vbd+bed+aux++=were
adapted ^vpsv++agls+xvbnx+=adapted
to ^in++++=to
align ^nn+++??+=align
with ^in++++=with
the ^ati++++=the
requirements ^nns+nom+++=requirements
of ^in++++=of
the ^ati++++=the
preschool ^nn+++??+=preschool
curriculum ^nn++++=curriculum,
, ^zz++++=EXTRAWORD
enabling ^vbg+nom++xvbg+=enabling
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
assessment ^nn+nom+++=assessment
of ^in++++=of
children ^nns++++=children
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
educational ^jj+atrb+++=educational
and ^cc+phrs+++=and
developmental ^jj+atrb+++=developmental
dimensions ^nns++++=dimensions
outlined ^vbd+++xvbn+=outlined
in ^in++++=in
the ^ati++++=the
curriculum ^nn++++=curriculum
improvement ^nn+nom+++=improvement.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
modifications ^nns+nom+++=modifications
were ^vbd+bed+aux++=were
informed ^vpsv++by+xvbnx+=informed
by ^in++++=by
Resolution ^nn+nom+++=Resolution
238 ^cd++++=238/2014,
which ^whp+rel+subj++=which
regulates ^nns+nom+++=regulates
the ^ati++++=the
school ^nn++++=school
evaluation ^nn+nom+++=evaluation
system ^nn++++=system
of ^in++++=of
the ^ati++++=the
Cuban ^jj+atrb+++=Cuban
Ministry ^nn++++=Ministry
of ^in++++=of
Education ^nn+nom+++=Education,
, ^zz++++=EXTRAWORD
to ^to++++=to
ensure ^vbi+vprv+++=ensure
the ^ati++++=the
integration ^nn+nom+++=integration
of ^in++++=of
the ^ati++++=the
B ^zz++++=B-PREA
- ^zz++++=EXTRAWORD
prea ^nn+++??+=EXTRAWORD
subtests ^nns+++??+=subtests
into ^in++++=into
the ^ati++++=the
preschool ^nn+++??+=preschool
evaluation ^nn+nom+++=evaluation
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
during ^in++++=during
the ^ati++++=the
partial ^jj+atrb+++=partial
evaluation ^nn+nom+++=evaluation
period ^nn++++=period
( ^zz++++=(four
four ^cd++++=EXTRAWORD
months ^nns++++=months
after ^in++++=after
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
year ^nn++++=year)
) ^zz++++=EXTRAWORD
or ^cc++++=or
the ^ati++++=the
final ^jj+atrb+++=final
evaluation ^nn+nom+++=evaluation
period ^nn++++=period
( ^zz++++=(at
at ^rb++++=EXTRAWORD
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
year ^nn++++=year).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
