As ^in++++=As
part ^nn++++=part
of ^in++++=of
an ^at++++=an
ongoing ^jj+atrb++xvbg+=ongoing
project ^nn++++=project
focused ^vbd+++xvbn+=focused
on ^in++++=on
the ^ati++++=the
ferns ^nns+++??+=ferns
and ^cc++++=and
lycophytes ^nns+++??+=lycophytes
of ^in++++=of
the ^ati++++=the
Vi ^np+++??+=Vi
osa ^nn+++??+=osa
region ^nn++++=region
in ^in++++=in
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais
State ^nn++++=State,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
provides ^vbz+vsua+++=provides
a ^at++++=a
taxonomic ^jj+atrb+++=taxonomic
treatment ^nn+nom+++=treatment
of ^in++++=of
the ^ati++++=the
early ^jj++++=early-diverging
- ^zz++++=EXTRAWORD
diverging ^jj+atrb++xvbg+=EXTRAWORD
lineages ^nns+nom+++=lineages
of ^in++++=of
leptosporangiate ^nn+nom+++=leptosporangiate
ferns ^nns+++??+=ferns,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
the ^ati++++=the
families ^nns++++=families
Dennstaedtiaceae ^np+++??+=Dennstaedtiaceae,
, ^zz++++=EXTRAWORD
Lindsaeaceae ^np+++??+=Lindsaeaceae,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Saccolomataceae ^np+++??+=Saccolomataceae.
. ^zz++++=EXTRAWORD
Field ^nn++++=Field
sampling ^nn+nom+++=sampling
of ^in++++=of
remnant ^nn+nom+++=remnant
forest ^nn++++=forest
patches ^nns++++=patches
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
conducted ^vpsv++agls+xvbnx+=conducted
since ^in++++=since
2012 ^cd++++=2012,
, ^zz++++=EXTRAWORD
complemented ^xvbn+++xvbn+=complemented
by ^in++++=by
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
review ^nn++++=review
of ^in++++=of
specimens ^nns++++=specimens
housed ^vbd+++xvbn+=housed
in ^in++++=in
the ^ati++++=the
Vic ^np++++=VIC
herbarium ^&fw++++=herbarium
and ^cc++++=and
additional ^jj+atrb+++=additional
online ^nn+++??+=online
collections ^nns+nom+++=collections,
, ^zz++++=EXTRAWORD
including ^in++++=including
F ^zz++++=F,
, ^zz++++=EXTRAWORD
Ian ^np++++=IAN,
, ^zz++++=EXTRAWORD
Ny ^np+++??+=NY,
, ^zz++++=EXTRAWORD
Ph ^nn++++=PH,
, ^zz++++=EXTRAWORD
Rb ^np+++??+=RB,
, ^zz++++=EXTRAWORD
U ^zz++++=U,
, ^zz++++=EXTRAWORD
Uc ^np+++??+=UC,
, ^zz++++=EXTRAWORD
Upcb ^np+++??+=UPCB,
, ^zz++++=EXTRAWORD
Us ^pp1o+pp1+++=US,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Wtu ^np+++??+=WTU.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
