On ^in++++=On
certain ^jj+atrb+++=certain
occasions ^nns++++=occasions,
, ^zz++++=EXTRAWORD
verbal ^jj+atrb+++=verbal
communication ^nn+nom+++=communication
interrupts ^nns+++??+=interrupts
the ^ati++++=the
continuity ^nn+nom+++=continuity
of ^in++++=of
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
as ^in++++=as
a ^at++++=a
form ^nn++++=form
of ^in++++=of
repair ^nn++++=repair.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
during ^in++++=during
one ^cd1++++=one
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
Sophie ^np++++=Sophie
executes ^vbz++++=executes
a ^at++++=a
kick ^vb++++=kick
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
believes ^vbz+vprv+++=believes
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
contact ^nn++++=contact
with ^in++++=with
Mestre ^np+++??+=Mestre
Jo ^np++++=Jo
o ^zz++++=o.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
subsequently ^rb+tm+++=subsequently
apologizes ^vbz++++=apologizes
both ^abx++++=both
verbally ^rb++++=verbally
and ^cc++++=and
with ^in++++=with
a ^at++++=a
conventional ^jj+atrb+++=conventional
gesture ^nn++++=gesture
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
specific ^jj++++=specific
to ^in++++=to
capoeira ^nn+++??+=capoeira.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
extends ^vbz++++=extends
her ^pp$+pp3+++=her
hand ^nn++++=hand
to ^to++++=to
invite ^vbi++++=invite
him ^pp3o+pp3+++=him
to ^to++++=to
perform ^vbi++++=perform
a ^at++++=a
volta ^nn+++??+=volta
ao ^nn+++??+=ao
mundo ^nn+++??+=mundo,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
both ^abx++++=both
crouch ^vb++++=crouch
at ^in++++=at
the ^ati++++=the
p ^zz++++=p
do ^vb+do+vrb++=do
berimbau ^nn++++=berimbau
to ^in++++=to
initiate ^nn+nom+++=initiate
a ^at++++=a
new ^jj+atrb+++=new
game ^nn++++=game.
. ^zz++++=EXTRAWORD
