While ^cs+sub+++=While
more ^rbr++++=more
than ^in++++=than
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
interviewees ^nns+nom+++=interviewees
reported ^vbd+vpub++xvbn+=reported
having ^vbg+hvg++xvbg+=having
a ^at++++=a
good ^jj++++=good
or ^cc++++=or
very ^ql+amp+++=very
good ^jj+atrb+++=good
command ^nn++++=command
of ^in++++=of
English ^nn++++=English
for ^in++++=for
academic ^jj+atrb+++=academic
writing ^nvbg+++xvbg+=writing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
65 ^cd++++=65%
% ^zz++++=EXTRAWORD
indicated ^vbd+vprv++xvbn+=indicated
prior ^jj+atrb+++=prior
international ^jj+atrb+++=international
academic ^jj+atrb+++=academic
experience ^nn+nom+++=experience,
, ^zz++++=EXTRAWORD
the ^ati++++=the
participant ^nn+nom+++=participant
from ^in++++=from
northern ^np++++=northern
Brazil ^np++++=Brazil
assessed ^vwbn+++xvbn+=assessed
his ^pp$+pp3+++=his
English ^jj+atrb+++=English
academic ^jj+atrb+++=academic
writing ^jj+atrb++xvbg+=writing
skills ^nns++++=skills
as ^in++++=as
poor ^jj++++=poor
and ^cc+phrs+++=and
stated ^vb+++xvbn+=stated
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++++=never
had ^vb+hv+vrb++=had
any ^dti++++=any
international ^jj+atrb+++=international
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
discrepancy ^nn++++=discrepancy
may ^md+pos+++=may
be ^vb+be+vrb++=be
attributable ^jj+pred+++=attributable
to ^in++++=to
various ^jj+atrb+++=various
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
including ^in++++=including
individual ^jj+atrb+++=individual
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
disparities ^nns+nom+++=disparities
in ^in++++=in
government ^nn+nom+++=government
investment ^nn+nom+++=investment
in ^in++++=in
education ^nn+nom+++=education
across ^in+pl+++=across
different ^jj+atrb+++=different
states ^nns++++=states
in ^in++++=in
brazil ^np++++=Brazil
may ^md+pos+++=may
also ^rb++splt++=also
contribute ^vb++++=contribute
to ^to++++=to
such ^abl++++=such
differences ^nns+nom+++=differences.
. ^zz++++=EXTRAWORD
