Positivist ^np+nom++??+=Positivist
research ^nn++++=research
aims ^vb++++=aims
to ^to+vcmp+++=to
achieve ^vbi++++=achieve
objectivity ^nn+nom+++=objectivity,
, ^zz++++=EXTRAWORD
measurability ^nn+nom+++=measurability,
, ^zz++++=EXTRAWORD
predictability ^nn+nom+++=predictability,
, ^zz++++=EXTRAWORD
controllability ^nn+nom+++=controllability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
identification ^nn+nom+++=identification
of ^in++++=of
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
goal ^nn++++=goal
of ^in++++=of
constructing ^xvbg+++xvbg+=constructing
laws ^nns++++=laws
and ^cc++++=and
rules ^nns++++=rules
of ^in++++=of
behavior ^nn++++=behavior
and ^cc++++=and
seeking ^jj+atrb++xvbg+=seeking
causal ^jj+atrb+++=causal
explanations ^nns+nom+++=explanations
to ^to++++=to
support ^vbi++++=support
its ^pp$+it+++=its
claims ^nns++++=claims
( ^zz++++=(Cohen
cohen ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
26 ^cd++++=26;
; ^zz++++=EXTRAWORD
Treagust ^np+++??+=Treagust
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
quantitative ^jj+atrb+++=quantitative
methods ^nns++++=methods
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
compatible ^jj+pred+++=compatible
with ^in++++=with
the ^ati++++=the
positivist ^nn+nom+++=positivist
paradigm ^nn++++=paradigm,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
attempt ^vb++++=attempt
to ^to+vcmp+++=to
represent ^vbi++++=represent
social ^jj+atrb+++=social
reality ^nn+nom+++=reality
using ^xvbg+++xvbg+=using
predefined ^vprf+++xvbn+=predefined
categories ^nns++++=categories
and ^cc++++=and
measurements ^nns+nom+++=measurements,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+aux++=are
oriented ^vpsv++agls+xvbnx+=oriented
toward ^in++++=toward
providing ^xvbg+++xvbg+=providing
explanations ^nns+nom+++=explanations
based ^xvbn+++xvbn+=based
on ^in++++=on
cause ^nn++++=cause-and-effect
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
effect ^nn++++=EXTRAWORD
relationships ^nns+nom+++=relationships.
. ^zz++++=EXTRAWORD
