Recent ^jj+atrb+++=Recent
publications ^nns+nom+++=publications
have ^vb+hv+aux++=have
reviewed ^vprf+++xvbnx+=reviewed
methods ^nns++++=methods
for ^in++++=for
analyzing ^xvbg+++xvbg+=analyzing
classroom ^nn++++=classroom
dialogue ^nn++++=dialogue
( ^zz++++=(Kershner,
kershner ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Hennessy ^np+++??+=Hennessy,
, ^zz++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Kumpulainen ^np+++??+=Kumpulainen
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
M ^zz++++=M
rtsin ^nn+++??+=rtsin,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
growing ^jj+atrb++xvbg+=growing
body ^nn++++=body
of ^in++++=of
research ^nn++++=research
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
discussion ^nn++++=discussion
paper ^nn++++=paper
aims ^vb++++=aims
to ^to+vcmp+++=to
critically ^rb++splt++=critically
examine ^vbi++++=examine
the ^ati++++=the
methodologies ^nns+++??+=methodologies
and ^cc++++=and
methods ^nns++++=methods
used ^vwbn+++xvbn+=used
to ^in++++=to
analyze ^nn+++??+=analyze
classroom ^nn++++=classroom
discursive ^nn++++=discursive
interaction ^nn+nom+++=interaction.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
than ^in++++=than
immediately ^rb+tm+++=immediately
addressing ^vbg+++xvbg+=addressing
specific ^jj+atrb+++=specific
analytical ^jj+atrb+++=analytical
methods ^nns++++=methods,
, ^zz++++=EXTRAWORD
the ^ati++++=the
paper ^nn++++=paper
first ^rb++++=first
provides ^vbz+vsua+++=provides
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
methodological ^jj+atrb+++=methodological
overview ^nn+++??+=overview,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
with ^in++++=with
a ^at++++=a
discussion ^nn++++=discussion
of ^in++++=of
research ^nn++++=research
paradigms ^nns++++=paradigms
that ^tht+rel+subj++=that
incorporates ^nns+nom+++=incorporates
considerations ^nns+nom+++=considerations
of ^in++++=of
epistemology ^nn+++??+=epistemology
and ^cc++++=and
ontology ^nn+++??+=ontology.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
section ^nn+nom+++=section
of ^in++++=of
the ^ati++++=the
paper ^nn++++=paper
presents ^vbz++++=presents
methods ^nns++++=methods
and ^cc++++=and
procedures ^nns++++=procedures
for ^in++++=for
discursive ^jj+atrb+++=discursive
data ^nns++++=data
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
distinguishing ^jj+++xvbg+=distinguishing
between ^in++++=between
quantitative ^jj+atrb+++=quantitative
and ^cc+phrs+++=and
qualitative ^jj+atrb+++=qualitative
approaches ^nns++++=approaches.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
approaches ^nns++++=approaches
are ^vb+ber+aux++=are
discussed ^vpsv++agls+xvbn+=discussed
and ^cc+phrs+++=and
exemplified ^vpsv++agls+xvbn+=exemplified
using ^vbg+++xvbg+=using
cases ^nns++++=cases
from ^in++++=from
previous ^jj+atrb+++=previous
research ^nn++++=research.
. ^zz++++=EXTRAWORD
