Although ^cs+con+++=Although
the ^ati++++=the
Bncc ^np++++=BNCC's
's ^$++++=EXTRAWORD
guidance ^nn+nom+++=guidance
on ^in++++=on
Digital ^jj+atrb+++=Digital
Information ^nn+nom+++=Information
and ^cc++++=and
Communication ^nn+nom+++=Communication
Technologies ^np+++??+=Technologies
( ^zz++++=(DICT)
dict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
neither ^dt++neg++=neither
critical ^jj++++=critical
nor ^cc++neg++=nor
emancipatory ^nn++++=emancipatory,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
absence ^nn+nom+++=absence
in ^in++++=in
schools ^nns++++=schools
disregards ^vbz++++=disregards
the ^ati++++=the
material ^nn++++=material
significance ^nn+nom+++=significance
of ^in++++=of
these ^dt+dem+++=these
technologies ^nns+++??+=technologies
in ^in++++=in
contemporary ^jj+atrb+++=contemporary
society ^nn++++=society
and ^cc++++=and
perpetuates ^nns+nom+++=perpetuates
existing ^jj+atrb++xvbg+=existing
social ^jj+atrb+++=social
hierarchies ^nns+++??+=hierarchies.
. ^zz++++=EXTRAWORD
Excluding ^vbg+++xvbg+=Excluding
Ict ^np+++??+=ICT
from ^in++++=from
educational ^jj+atrb+++=educational
processes ^nns+nom+++=processes,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
justification ^nn+nom+++=justification
that ^tht+rel+++=that
not ^xnot++not++=not
all ^abn++++=all
students ^nns++++=students
have ^vb+hv+vrb++=have
access ^nn++++=access,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
protects ^vbz++++=protects
those ^dt+dem+++=those
without ^in++++=without
access ^nn++++=access
nor ^cc++neg++=nor
contributes ^vbz++++=contributes
to ^in++++=to
efforts ^nns++++=efforts
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
improving ^vbg+++xvbg+=improving
the ^ati++++=the
conditions ^nns+nom+++=conditions
necessary ^jj++++=necessary
for ^in++++=for
equitable ^jj+atrb+++=equitable
inclusion ^nn++++=inclusion.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
Ict ^np+++??+=ICT
integration ^nn+nom+++=integration
in ^in++++=in
schools ^nns++++=schools
eliminates ^nns+nom+++=eliminates
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
engaging ^nn++++=engaging
with ^in++++=with
these ^dt+dem+++=these
technologies ^nns+++??+=technologies
from ^in++++=from
a ^at++++=a
critical ^jj+atrb+++=critical
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
reinforcing ^nn++++=reinforcing
instrumental ^jj+atrb+++=instrumental
and ^cc+phrs+++=and
deterministic ^jj+atrb+++=deterministic
approaches ^nns++++=approaches
to ^to++++=to
their ^pp$+pp3+++=their
use ^nn++++=use.
. ^zz++++=EXTRAWORD
