Conducting ^vbg+++xvbg+=Conducting
detailed ^jj+atrb+++=detailed
ethnographic ^nn++++=ethnographic
research ^nn++++=research
on ^in++++=on
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
digital ^jj+atrb+++=digital
resources ^nns++++=resources
for ^in++++=for
the ^ati++++=the
multimodal ^jj+atrb+++=multimodal
documentation ^nn+nom+++=documentation
of ^in++++=of
everyday ^jjb+atrb+++=everyday
practices ^nns++++=practices
among ^in++++=among
family ^nn++++=family
members ^nns+nom+++=members
and ^cc++++=and
friends ^nns++++=friends
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
of ^in++++=of
origin ^nn++++=origin
yields ^vbz++++=yields
a ^at++++=a
more ^rbr++++=more
comprehensive ^jj++++=comprehensive
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
dynamic ^jj+atrb+++=dynamic
nature ^nn++++=nature
of ^in++++=of
diaspora ^nn++++=diaspora.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
than ^in++++=than
constituting ^nn++++=constituting
bounded ^vwbn+++xvbn+=bounded
social ^jj+atrb+++=social
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
diasporas ^nns+++??+=diasporas
emerge ^vb++++=emerge
from ^in++++=from
complex ^jj+atrb+++=complex
communicative ^jj+atrb+++=communicative
practices ^nns++++=practices
and ^cc++++=and
ongoing ^jj+atrb+++=ongoing
processes ^nns+nom+++=processes
of ^in++++=of
identification ^nn+nom+++=identification
oriented ^jj++++=oriented
toward ^in++++=toward
the ^ati++++=the
homeland ^nn++++=homeland.
. ^zz++++=EXTRAWORD
