Several ^ap++++=Several
long ^jj++++=long-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
assemblers ^nns+nom+++=assemblers
suitable ^jj++++=suitable
for ^in++++=for
bacterial ^jj+atrb+++=bacterial
genomes ^nns+++??+=genomes
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
developed ^vpsv++agls+xvbnx+=developed,
, ^zz++++=EXTRAWORD
including ^in++++=including
Canu ^np+++??+=Canu,
, ^zz++++=EXTRAWORD
Flye ^np+++??+=Flye,
, ^zz++++=EXTRAWORD
Necat ^np+++??+=NECAT,
, ^zz++++=EXTRAWORD
Nextdenovo ^np+++??+=NextDenovo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Raven ^np+++??+=Raven,
, ^zz++++=EXTRAWORD
each ^dt++++=each
employing ^jj+atrb++xvbg+=employing
distinct ^jj+atrb+++=distinct
algorithms ^nns+++??+=algorithms
that ^tht+rel+subj++=that
confer ^vb++++=confer
specific ^jj+atrb+++=specific
advantages ^nns+nom+++=advantages
and ^cc++++=and
disadvantages ^nns+nom+++=disadvantages.
. ^zz++++=EXTRAWORD
Regardless ^rb++++=Regardless
of ^in++++=of
the ^ati++++=the
assembler ^nn+nom+++=assembler
selected ^vwbn+++xvbn+=selected,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
long ^jj++++=long-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
bacterial ^jj+atrb+++=bacterial
genome ^nn+++??+=genome
assemblies ^nns++++=assemblies
contain ^vb++++=contain
avoidable ^jj+atrb+++=avoidable
errors ^nns++++=errors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
different ^jj+atrb+++=different
assemblers ^nns+nom+++=assemblers
applied ^vwbn+++xvbn+=applied
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
read ^vb+vprv++xvbn+=read
set ^vbd+++xvbn+=set
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
generate ^nn+nom+++=generate
assemblies ^nns++++=assemblies
with ^in++++=with
varying ^xvbg+++xvbg+=varying
error ^nn++++=error
profiles ^nns++++=profiles.
. ^zz++++=EXTRAWORD
Trycycler ^np+nom++??+=Trycycler
addresses ^nns+nom+++=addresses
this ^dt+dem+++=this
issue ^nn++++=issue
by ^in++++=by
generating ^xvbg+++xvbg+=generating
a ^at++++=a
consensus ^nn++++=consensus
sequence ^nn+nom+++=sequence
from ^in++++=from
multiple ^jj+atrb+++=multiple
alternative ^jj+atrb+++=alternative
assemblies ^nns++++=assemblies
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
genome ^nn+++??+=genome,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
enables ^vbz++++=enables
the ^ati++++=the
reduction ^nn+nom+++=reduction
of ^in++++=of
structural ^jj+atrb+++=structural
errors ^nns++++=errors,
, ^zz++++=EXTRAWORD
the ^ati++++=the
removal ^nn++++=removal
of ^in++++=of
spurious ^jj+atrb+++=spurious
contigs ^nns+++??+=contigs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
accurate ^jj+atrb+++=accurate
resolution ^nn+nom+++=resolution
of ^in++++=of
circular ^jj+atrb+++=circular
sequences ^nns+nom+++=sequences
without ^in++++=without
missing ^xvbg+++xvbg+=missing
or ^cc++++=or
duplicated ^vbd+++xvbn+=duplicated
bases ^nns++++=bases
at ^rb++++=at
their ^pp$+pp3+++=their
termini ^nn+++??+=termini.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
these ^dt+dem+++=these
capabilities ^nns+nom+++=capabilities,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Trycycler ^np+nom++??+=Trycycler
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
for ^in++++=for
producing ^xvbg+++xvbg+=producing
long ^jj++++=long-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
bacterial ^jj+atrb+++=bacterial
genome ^nn+++??+=genome
assemblies ^nns++++=assemblies.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
should ^md+nec+++=should
be ^vb+be+aux++=be
noted ^vpsv++agls+xvbnx+=noted,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Trycycler ^np+nom++??+=Trycycler
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
fully ^rb+amp+++=fully
automated ^jj+++xvbn+=automated
and ^cc++++=and
requires ^vbz++++=requires
user ^nn++++=user
input ^nn++++=input
and ^cc++++=and
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
during ^in++++=during
the ^ati++++=the
assembly ^nn++++=assembly
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
