These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
teachers ^nns+nom+++=teachers
sometimes ^rb++++=sometimes
integrate ^nn+nom+++=integrate
hetero ^nn+++??+=hetero-regulation
- ^zz++++=EXTRAWORD
regulation ^nn+nom+++=EXTRAWORD
and ^cc++++=and
self ^nn++++=self-regulation
- ^zz++++=EXTRAWORD
regulation ^nn+nom+++=EXTRAWORD
strategies ^nns+++??+=strategies
to ^in++++=to
address ^nns+nom+++=address
emotional ^jj+atrb+++=emotional
demands ^nns++++=demands
and ^cc++++=and
enhance ^nn+nom+++=enhance
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
illustrating ^vbg+++xvbg+=illustrating
the ^ati++++=the
dynamic ^jj+atrb+++=dynamic
and ^cc+phrs+++=and
complex ^jj+atrb+++=complex
nature ^nn++++=nature
of ^in++++=of
teacher ^nn++++=teacher
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sutton ^np++++=Sutton,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
both ^abx++++=both
emotional ^jj+atrb+++=emotional
and ^cc+phrs+++=and
pedagogical ^jj+atrb+++=pedagogical
repertoires ^nns+++??+=repertoires
are ^vb+ber+aux++=are
required ^vbd+++xvbn+=required
for ^in++++=for
these ^dt+dem+++=these
regulatory ^nn++++=regulatory
processes ^nns+nom+++=processes
to ^in++++=to
be ^vbi++vrb++=be
effective ^jj+pred+++=effective.
. ^zz++++=EXTRAWORD
