It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
location ^nn+nom+++=location
where ^wrb+who+++=where
the ^ati++++=the
two ^cd++++=two
players ^nns+nom+++=players
greet ^vb++++=greet
and ^cc++++=and
often ^rb++++=often
embrace ^vb++++=embrace
each ^dt++++=each
other ^ap++++=other
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
the ^ati++++=the
game ^nn++++=game;
; ^zz++++=EXTRAWORD
some ^dti++++=some
capoeiristas ^nns+++??+=capoeiristas
also ^rb++++=also
engage ^vb++++=engage
in ^in++++=in
prayer ^nn++++=prayer
at ^in++++=at
this ^dt+dem+++=this
point ^nn++++=point.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
area ^nn++++=area
serves ^vbz++++=serves
as ^in++++=as
the ^ati++++=the
central ^jj+atrb+++=central
focus ^nn++++=focus
of ^in++++=of
the ^ati++++=the
roda ^nn+++??+=roda
and ^cc++++=and
is ^vbz+bez+vrb++=is
a ^at++++=a
place ^nn++++=place
to ^to++++=to
which ^whp+who+++=which
the ^ati++++=the
players ^nns+nom+++=players
may ^md+pos+++=may
occasionally ^rb++++=occasionally
return ^nn++++=return
during ^in++++=during
the ^ati++++=the
game ^nn++++=game
to ^in++++=to
restart ^nn++++=restart
play ^nn++++=play.
. ^zz++++=EXTRAWORD
