This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
second ^od++++=second
most ^ql+emph+++=most
prominent ^jj+atrb+++=prominent
family ^nn++++=family
of ^in++++=of
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
teachers ^nns+nom+++=teachers
frequently ^rb++++=frequently
attempt ^nn++++=attempt
to ^to+ncmp+++=to
alter ^vbi++++=alter
situations ^nns+nom+++=situations
both ^abx++++=both
physical ^jj++++=physical
and ^cc+phrs+++=and
external ^jj++++=external
that ^dt+dem+++=that
may ^md+pos+++=may
trigger ^vb++++=trigger
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions
( ^zz++++=(Gross,
gross ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
situation ^nn+nom+++=situation
modification ^nn+nom+++=modification
encompassed ^vbd+++xvbn+=encompassed
the ^ati++++=the
following ^jj+atrb++xvbg+=following
strategies ^nns+++??+=strategies:
: ^zz++++=EXTRAWORD
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
direct ^jj+atrb+++=direct
modification ^nn+nom+++=modification,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
prevalent ^jj++++=prevalent
and ^cc+phrs+++=and
involved ^jj+atrb++xvbn+=involved
adjusting ^jj+atrb++xvbg+=adjusting
lesson ^nn++++=lesson
plans ^nns++++=plans
to ^to+ncmp+++=to
address ^nns+nom+++=address
specific ^jj+atrb+++=specific
classroom ^nn++++=classroom
needs ^nns++++=needs,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
employing ^jj+atrb++xvbg+=employing
alternative ^jj+atrb+++=alternative
resources ^nns++++=resources
to ^in++++=to
influence ^nn+nom+++=influence
the ^ati++++=the
