Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
more ^rbr++++=more
than ^in++++=than
81 ^cd++++=81%
% ^zz++++=EXTRAWORD
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
students ^nns++++=students
in ^in++++=in
basic ^jj+atrb+++=basic
education ^nn+nom+++=education
are ^vb+ber+aux++=are
enrolled ^vpsv++agls+xvbnx+=enrolled
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
including ^in++++=including
municipal ^jj++++=municipal,
, ^zz++++=EXTRAWORD
state ^nn++++=state,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
federal ^jj+atrb+++=federal
institutions ^nns+nom+++=institutions
( ^zz++++=(INEP,
inep ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
that ^tht+jcmp+++=that
Information ^nn+nom+++=Information
and ^cc++++=and
Communication ^nn+nom+++=Communication
Technology ^nn++++=Technology
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
education ^nn+nom+++=education
is ^vbz+bez+aux++=is
incorporated ^vpsv++agls+xvbnx+=incorporated
into ^in++++=into
the ^ati++++=the
curriculum ^nn++++=curriculum
at ^in++++=at
this ^dt+dem+++=this
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Ensuring ^vbg+vprv++xvbg+=Ensuring
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
Ict ^np+++??+=ICT
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
important ^jj+pred+++=important,
, ^zz++++=EXTRAWORD
as ^ql++++=as
these ^dt+dem+++=these
institutions ^nns+nom+++=institutions
constitute ^vb++++=constitute
the ^ati++++=the
primary ^jj+atrb+++=primary
educational ^jj+atrb+++=educational
environment ^nn+nom+++=environment
for ^in++++=for
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
brazilian ^jj+atrb+++=Brazilian
students ^nns++++=students.
. ^zz++++=EXTRAWORD
