Implication ^nn+nom+++=Implication
for ^in++++=for
Practice ^nn++++=Practice:
: ^zz++++=EXTRAWORD
Topical ^jj+atrb+++=Topical
therapies ^nns+++??+=therapies
such ^abl++++=such
as ^ql++++=as
opioids ^nns+++??+=opioids,
, ^zz++++=EXTRAWORD
anesthetics ^nns++++=anesthetics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
antimicrobials ^nns+nom+++=antimicrobials
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
positive ^jj+atrb+++=positive
outcomes ^nns+++??+=outcomes
in ^in++++=in
randomized ^jj+atrb++xvbn+=randomized
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
and ^cc++++=and
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vbd+vprv++xvbn+=considered
for ^in++++=for
clinical ^jj+atrb+++=clinical
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
