There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
evidence ^nn+nom+++=evidence
that ^tht+rel+++=that
suppression ^nn++++=suppression
is ^vbz+bez+vrb++=is
the ^ati++++=the
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategy ^nn++++=strategy
most ^ql+emph+++=most
frequently ^rb++++=frequently
employed ^vpsv++by+xvbn+=employed
by ^in++++=by
teachers ^nns+nom+++=teachers
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
suppression ^nn++++=suppression
emerged ^vbd+++xvbn+=emerged
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
common ^jj+atrb+++=common
reactive ^jj+atrb+++=reactive
strategy ^nn++++=strategy,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
used ^md"++pmd"++=used
to ^to++++=to
avoid ^vb++++=avoid
or ^cc++++=or
resolve ^nn++++=resolve
interpersonal ^jj+atrb+++=interpersonal
conflicts ^nns++++=conflicts.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
highlight ^nn++++=highlight
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
suppression ^nn++++=suppression
in ^in++++=in
teaching ^xvbg+++xvbg+=teaching
and ^cc++++=and
support ^nn++++=support
previous ^jj+atrb+++=previous
findings ^nns++++=findings
indicating ^vb+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
suppression ^nn++++=suppression
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
inherently ^rb++++=inherently
detrimental ^jj++++=detrimental
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context
and ^cc++++=and
may ^md+pos+++=may
be ^vb+be+vrb++=be
beneficial ^jj+pred+++=beneficial
in ^in++++=in
the ^ati++++=the
short ^jj+atrb+++=short
term ^nn++++=term
( ^zz++++=(English
english ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
may ^md+pos+++=may
account ^vb++++=account
for ^in++++=for
its ^pp$+it+++=its
high ^jj+atrb+++=high
prevalence ^nn+nom+++=prevalence.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
the ^ati++++=the
literature ^nn++++=literature
generally ^rb+down+++=generally
characterizes ^vbz++++=characterizes
suppression ^nn++++=suppression
as ^in++++=as
maladaptive ^jj++++=maladaptive,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
association ^nn+nom+++=association
with ^in++++=with
burnout ^nn+++??+=burnout
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Chang ^np+++??+=Chang,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Yin ^np+++??+=Yin,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
suppression ^nn++++=suppression
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
impede ^vb+++??+=impede
interpersonal ^jj+atrb+++=interpersonal
closeness ^nns+nom+++=closeness
( ^zz++++=(Gross,
gross ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
critical ^jj+atrb+++=critical
aspect ^nn++++=aspect
of ^in++++=of
teacher ^nn++++=teacher-student
- ^zz++++=EXTRAWORD
student ^nn++++=EXTRAWORD
relationship ^nn+nom+++=relationship
quality ^nn+nom+++=quality
( ^zz++++=(Taxer
taxer ^jjr+atrb+++=EXTRAWORD
& ^zz++++=&
Frenzel ^np+++??+=Frenzel,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
Akbari ^np+++??+=Akbari
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
