While ^cs+sub+++=While
the ^ati++++=the
differences ^nns+nom+++=differences
between ^in++++=between
groups ^nns++++=groups
are ^vb+ber+vrb++=are
significant ^jj+pred+++=significant,
, ^zz++++=EXTRAWORD
the ^ati++++=the
similarities ^nns+nom+++=similarities
also ^rb++++=also
warrant ^nn+nom+++=warrant
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
In ^in++++=In
both ^abx++++=both
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
urbanicity ^nn+nom+++=urbanicity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
educational ^jj+atrb+++=educational
model ^nn++++=model
( ^zz++++=(Cuban
cuban ^jj+atrb+++=EXTRAWORD
program ^nn+++??+=program
in ^in++++=in
preschool ^nn+++??+=preschool
education ^nn+nom+++=education)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
controlled ^vpsv++agls+xvbnx+=controlled,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
these ^dt+dem+++=these
variables ^nns++++=variables
do ^vb+do+vrb++=do
not ^xnot++not++=not
account ^nn++++=account
for ^in++++=for
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
neuropsychological ^jj+atrb+++=neuropsychological
variability ^nn+nom+++=variability
between ^in++++=between
the ^ati++++=the
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
no ^at++++=no
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
between ^in++++=between
the ^ati++++=the
groups ^nns++++=groups
in ^in++++=in
right ^jj++++=right-left
- ^zz++++=EXTRAWORD
left ^jj+atrb++xvbn+=EXTRAWORD
orientation ^nn+nom+++=orientation,
, ^zz++++=EXTRAWORD
similarity ^nn+nom+++=similarity
and ^cc++++=and
difference ^nn+nom+++=difference
tasks ^nns++++=tasks,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
manual ^jj+atrb+++=manual
laterality ^nn+nom+++=laterality.
. ^zz++++=EXTRAWORD
