Although ^cs+con+++=Although
neuropsychological ^jj+atrb+++=neuropsychological
variables ^nns++++=variables
are ^vb+ber+aux++=are
present ^vb++++=present
in ^in++++=in
both ^abx++++=both
provinces ^nns++++=provinces
studied ^vbd+++xvbn+=studied,
, ^zz++++=EXTRAWORD
specific ^jj+atrb+++=specific
differences ^nns+nom+++=differences
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
that ^dt+pdem+++=that
are ^vb+ber+vrb++=are
relevant ^jj+pred+++=relevant
to ^in++++=to
the ^ati++++=the
research ^nn++++=research.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
province ^nn++++=province
of ^in++++=of
Sancti ^np+++??+=Sancti
Sp ^&fo++++=Sp
ritus ^nns+++??+=ritus,
, ^zz++++=EXTRAWORD
fine ^jj+atrb+++=fine
motor ^nn++++=motor
skills ^nns++++=skills
( ^zz++++=(t
t ^zz++++=EXTRAWORD
= ^zz++++==
2.059 ^cd++++=2.059,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.048 ^nn+++??+=0.048),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
denomination ^nn+nom+++=denomination
( ^zz++++=(t
t ^zz++++=EXTRAWORD
= ^zz++++==
- ^zz++++=-2.890,
2.890 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.007 ^nn+++??+=0.007),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
speed ^nn++++=speed
with ^in++++=with
the ^ati++++=the
right ^jj+atrb+++=right
upper ^jjb+atrb+++=upper
limb ^nn++++=limb
( ^zz++++=(t
t ^zz++++=EXTRAWORD
= ^zz++++==
3.477 ^cd++++=3.477,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.001 ^nn+++??+=0.001)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
significant ^jj+atrb+++=significant
predictors ^nns++++=predictors
of ^in++++=of
intellectual ^jj+atrb+++=intellectual
performance ^nn+nom+++=performance
in ^in++++=in
preschool ^nn+++??+=preschool
children ^nns++++=children.
. ^zz++++=EXTRAWORD
The ^ati++++=The
predictive ^jj+atrb+++=predictive
value ^nn++++=value
for ^in++++=for
each ^dt++++=each
of ^in++++=of
these ^dt+dem+++=these
variables ^nns++++=variables
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
0.089 ^nn+++??+=0.089
to ^in++++=to
0.252 ^nn+++??+=0.252
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Table ^nn++++=Table
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
neuropsychological ^jj+atrb+++=neuropsychological
tasks ^nns++++=tasks
did ^vbd+dod+aux++=did
not ^xnot++not++=not
serve ^vb++++=serve
as ^ql++++=as
predictors ^nns++++=predictors
of ^in++++=of
intelligence ^nn+nom+++=intelligence
development ^nn+nom+++=development
in ^in++++=in
the ^ati++++=the
cienfuegos ^np++++=Cienfuegos
group ^nn++++=group.
. ^zz++++=EXTRAWORD
