Rhizomes ^np+++??+=Rhizomes
are ^vb+ber+vrb++=are
erect ^jj+pred+++=erect
or ^cc++++=or,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
commonly ^rb+cnj+++=commonly,
, ^zz++++=EXTRAWORD
short ^jj++++=short-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
occasionally ^rb++splt++=occasionally
form ^vb++++=form
small ^jj+atrb+++=small
trunks ^nns++++=trunks;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
dictyostelic ^jj+pred+++=dictyostelic
and ^cc++++=and
bear ^vb+vprv+++=bear
peltate ^nn+nom+++=peltate
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
are ^vb+ber+vrb++=are
monomorphic ^jj+pred+++=monomorphic,
, ^zz++++=EXTRAWORD
with ^in++++=with
stipes ^nns+++??+=stipes
containing ^vwbg+++xvbg+=containing
an ^at++++=an
omega ^nn+++??+=omega-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
vascular ^nn+++??+=vascular
strand ^npl++++=strand.
. ^zz++++=EXTRAWORD
Laminae ^np+++??+=Laminae
are ^vb+ber+vrb++=are
1to ^cd++++=1to
4 ^zz++++=4-pinnate,
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
veins ^nns++++=veins
are ^vb+ber+vrb++=are
free ^jj+pred+++=free.
. ^zz++++=EXTRAWORD
The ^ati++++=The
indument ^nn+nom+++=indument
consists ^nns+nom+++=consists
primarily ^rb+down+++=primarily
of ^in++++=of
caduceus ^nns+++??+=caduceus
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
with ^in++++=with
scattered ^xvbn+++xvbn+=scattered
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs
occurring ^vwbg+++xvbg+=occurring
rarely ^rb++++=rarely.
. ^zz++++=EXTRAWORD
Sori ^np+++??+=Sori
are ^vb+ber+vrb++=are
marginal ^jj+pred+++=marginal
or ^cc++++=or
submarginal ^nn+nom+++=submarginal,
, ^zz++++=EXTRAWORD
discrete ^jj++++=discrete,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
extrorse ^nn+++??+=extrorse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+aux++=are
protected ^vpsv++by+xvbnx+=protected
by ^in++++=by
both ^abx++++=both
outer ^jjb++++=outer
( ^zz++++=(unmodified)
unmodified ^jj+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
inner ^jjb++++=inner
( ^zz++++=(modified)
modified ^vbd+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
indusia ^nn+++??+=indusia.
. ^zz++++=EXTRAWORD
Spores ^np+++??+=Spores
are ^vb+ber+vrb++=are
tetrahedral ^jj+pred+++=tetrahedral-globose
- ^zz++++=EXTRAWORD
globose ^nn+++??+=EXTRAWORD
and ^cc++++=and
trilete ^nn++++=trilete
( ^zz++++=(Smith
smith ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
