These ^dt+dem+++=These
elements ^nns+nom+++=elements
become ^vb++++=become
evident ^jj++++=evident
when ^wrb+who+++=when
the ^ati++++=the
specific ^jj+atrb+++=specific
characteristics ^nns++++=characteristics
of ^in++++=of
each ^dt++++=each
subtest ^jjt++++=subtest
are ^vb+ber+aux++=are
analyzed ^vpsv++agls+xvbnx+=analyzed.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
matrices ^nns++++=matrices
subtest ^jjt++++=subtest,
, ^zz++++=EXTRAWORD
the ^ati++++=the
child ^nn++++=child
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
select ^vbi++++=select
the ^ati++++=the
correct ^jj+atrb+++=correct
option ^nn++++=option
from ^in++++=from
four ^cd++++=four
alternatives ^nns++++=alternatives
to ^to++++=to
complete ^vbi++++=complete
an ^at++++=an
abstract ^jj+atrb+++=abstract
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
a ^at++++=a
task ^nn++++=task
that ^tht+rel+subj++=that
necessitates ^nns+nom+++=necessitates
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
higher ^jjr++++=higher-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
cognitive ^jj+atrb+++=cognitive
skills ^nns++++=skills
and ^cc++++=and
executive ^jj+atrb+++=executive
functions ^nns+nom+++=functions.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
child ^nn++++=child
must ^md+nec+++=must
employ ^vb++++=employ
abilities ^nns+nom+++=abilities
such ^abl++++=such
as ^ql++++=as
size ^nn++++=size
perception ^nn+nom+++=perception,
, ^zz++++=EXTRAWORD
spatial ^jj+atrb+++=spatial
orientation ^nn+nom+++=orientation
in ^in++++=in
one ^cd1++++=one
and ^cc++++=and
two ^cd++++=two
dimensions ^nns++++=dimensions,
, ^zz++++=EXTRAWORD
holistic ^jj+atrb+++=holistic
and ^cc+phrs+++=and
componential ^jj+atrb+++=componential
analysis ^nn++++=analysis
of ^in++++=of
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
recognition ^nn+nom+++=recognition
of ^in++++=of
correlative ^jj+atrb+++=correlative
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deduction ^nn+nom+++=deduction
of ^in++++=of
relationships ^nns+nom+++=relationships
( ^zz++++=(Gizzonio
gizzonio ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
