Regarding ^in++++=Regarding
knowledge ^nn++++=knowledge
of ^in++++=of
Digital ^jj+atrb+++=Digital
Information ^nn+nom+++=Information
and ^cc++++=and
Communication ^nn+nom+++=Communication
Technologies ^np+++??+=Technologies
( ^zz++++=(DICT),
dict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
such ^abl++++=such
knowledge ^nn++++=knowledge
affects ^vbz++++=affects
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
including ^in++++=including
both ^abx++++=both
teachers ^nns+nom+++=teachers
and ^cc++++=and
students ^nns++++=students.
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
socioeconomic ^jj+atrb+++=socioeconomic
classes ^nns++++=classes
A ^at++++=A
and ^cc++++=and
B ^zz++++=B
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
at ^rb++++=at
least ^rb"++++=least
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
of ^in++++=of
individuals ^nns+nom+++=individuals
possess ^nns+nom+++=possess
a ^at++++=a
functional ^jj++++=functional
understanding ^jj+++xvbg+=understanding
of ^in++++=of
information ^nn+nom+++=information
technology ^nn++++=technology
( ^zz++++=(CGI.br,
cgi.br ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019a ^cd++++=2019a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
case ^nn++++=case
among ^in++++=among
lower ^jjr+atrb+++=lower
socioeconomic ^jj+atrb+++=socioeconomic
classes ^nns++++=classes,
, ^zz++++=EXTRAWORD
as ^ql++++=as
public ^jj+atrb+++=public
schools ^nns++++=schools
where ^wrb+who+++=where
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
these ^dt+dem+++=these
individuals ^nns+nom+++=individuals
are ^vb+ber+aux++=are
or ^cc++++=or
were ^vbd+bed+aux++=were
enrolled ^vpsv++agls+xvbnx+=enrolled
do ^vb+do+aux++=do
not ^xnot++not++=not
yet ^rb++++=yet
provide ^vb+vsua+++=provide
this ^dt+dem+++=this
type ^nn++++=type
of ^in++++=of
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
financial ^jj++++=financial
and ^cc++++=and
employment ^nn+nom+++=employment
constraints ^nns+++??+=constraints
prevent ^vb++++=prevent
them ^pp3o+pp3+++=them
from ^in++++=from
enrolling ^nn+nom+++=enrolling
in ^in++++=in
private ^jj+atrb+++=private
courses ^nns++++=courses.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
asked ^vbd+vsua++xvbn+=asked
about ^in++++=about
their ^pp$+pp3+++=their
lack ^nn++++=lack
of ^in++++=of
basic ^jj+atrb+++=basic
informatics ^nns++++=informatics
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
from ^in++++=from
classes ^nns++++=classes
D ^zz++++=D
and ^cc++++=and
E ^zz++++=E
cited ^vprf+++xvbn+=cited
the ^ati++++=the
associated ^jj+atrb++xvbn+=associated
costs ^nns++++=costs
as ^ql++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
barrier ^nn++++=barrier
( ^zz++++=(CGI.br,
cgi.br ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019a ^cd++++=2019a,
, ^zz++++=EXTRAWORD
2018a ^cd++++=2018a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
