Position ^nn+nom+++=Position
within ^in++++=within
the ^ati++++=the
capoeira ^nn+++??+=capoeira
hierarchy ^nn++++=hierarchy
includes ^vb++++=includes
the ^ati++++=the
rank ^nn++++=rank
of ^in++++=of
mestre ^&fw++++=mestre
( ^zz++++=(master)
master ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
contramestre ^nn+++??+=contramestre
( ^zz++++=(the
the ^ati++++=EXTRAWORD
stage ^nn++++=stage
immediately ^rb+tm+++=immediately
preceding ^jj+++xvbg+=preceding
mestre ^&fw++++=mestre),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
defined ^nn++++=defined
by ^in++++=by
portal ^nn++++=PORTAL
capoeira ^np++++=CAPOEIRA
( ^zz++++=(2022).
2022 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
